,model,Word representations processed . . .,layer,relation_vector_corr,num_top_relations_considered
0,openai-community/gpt2,As a compound,1,-0.0047914203238730475,1
1,openai-community/gpt2,In separate sentences,1,-0.010109788234385195,1
2,openai-community/gpt2,As a compound,1,0.06375653518058975,18
3,openai-community/gpt2,In separate sentences,1,0.020282134564837614,18
4,openai-community/gpt2,As a compound,2,0.006312506140975602,1
5,openai-community/gpt2,In separate sentences,2,0.025296200383350165,1
6,openai-community/gpt2,As a compound,2,0.042444101650202966,18
7,openai-community/gpt2,In separate sentences,2,0.011031800021078652,18
8,openai-community/gpt2,As a compound,3,0.0037755522960224125,1
9,openai-community/gpt2,In separate sentences,3,0.027126935813220024,1
10,openai-community/gpt2,As a compound,3,-0.012182822176019521,18
11,openai-community/gpt2,In separate sentences,3,0.007987531657899864,18
12,openai-community/gpt2,As a compound,4,0.057298759485318554,1
13,openai-community/gpt2,In separate sentences,4,0.0021593986153509485,1
14,openai-community/gpt2,As a compound,4,0.00875275060441438,18
15,openai-community/gpt2,In separate sentences,4,0.01166415958455893,18
16,openai-community/gpt2,As a compound,5,0.06086787870616276,1
17,openai-community/gpt2,In separate sentences,5,0.015805711374499584,1
18,openai-community/gpt2,As a compound,5,0.0031407191652853762,18
19,openai-community/gpt2,In separate sentences,5,0.03226375142520432,18
20,openai-community/gpt2,As a compound,6,0.05667674403511055,1
21,openai-community/gpt2,In separate sentences,6,0.040094192404019305,1
22,openai-community/gpt2,As a compound,6,-0.004146106996515635,18
23,openai-community/gpt2,In separate sentences,6,0.04260123342052231,18
24,openai-community/gpt2,As a compound,7,0.03549834025663087,1
25,openai-community/gpt2,In separate sentences,7,0.04167775138861,1
26,openai-community/gpt2,As a compound,7,0.0072427526164675375,18
27,openai-community/gpt2,In separate sentences,7,0.05588717172394631,18
28,openai-community/gpt2,As a compound,8,0.0350420145115001,1
29,openai-community/gpt2,In separate sentences,8,0.027010138152263937,1
30,openai-community/gpt2,As a compound,8,0.008400162241746589,18
31,openai-community/gpt2,In separate sentences,8,0.047930938670703555,18
32,openai-community/gpt2,As a compound,9,0.0365223569585017,1
33,openai-community/gpt2,In separate sentences,9,0.019877332159922316,1
34,openai-community/gpt2,As a compound,9,0.009319957970445176,18
35,openai-community/gpt2,In separate sentences,9,0.04781724169868386,18
36,openai-community/gpt2,As a compound,10,0.03502571716345972,1
37,openai-community/gpt2,In separate sentences,10,0.006537952788867588,1
38,openai-community/gpt2,As a compound,10,-0.00044392918850383084,18
39,openai-community/gpt2,In separate sentences,10,0.059665999176016324,18
40,openai-community/gpt2,As a compound,11,0.034028862708322866,1
41,openai-community/gpt2,In separate sentences,11,0.0036234437143121572,1
42,openai-community/gpt2,As a compound,11,-0.0028992727865019977,18
43,openai-community/gpt2,In separate sentences,11,0.06244965874939719,18
44,openai-community/gpt2,As a compound,12,0.027241017249502716,1
45,openai-community/gpt2,In separate sentences,12,0.0025423862942999843,1
46,openai-community/gpt2,As a compound,12,-0.011476367956616301,18
47,openai-community/gpt2,In separate sentences,12,0.058536694420225285,18
48,microsoft/phi-1,As a compound,1,-0.0007116508644301238,1
49,microsoft/phi-1,In separate sentences,1,0.01595781995620984,1
50,microsoft/phi-1,As a compound,1,0.04070798721228438,18
51,microsoft/phi-1,In separate sentences,1,0.018101452191381387,18
52,microsoft/phi-1,As a compound,2,-0.011712360791689672,1
53,microsoft/phi-1,In separate sentences,2,0.03088347453652866,1
54,microsoft/phi-1,As a compound,2,0.06546071226681742,18
55,microsoft/phi-1,In separate sentences,2,0.05509001542574087,18
56,microsoft/phi-1,As a compound,3,0.06321469682397814,1
57,microsoft/phi-1,In separate sentences,3,0.04103128991634141,1
58,microsoft/phi-1,As a compound,3,0.09929642014224897,18
59,microsoft/phi-1,In separate sentences,3,0.069930664009479,18
60,microsoft/phi-1,As a compound,4,0.053061448994818586,1
61,microsoft/phi-1,In separate sentences,4,0.03408861965113761,1
62,microsoft/phi-1,As a compound,4,0.10101975963949118,18
63,microsoft/phi-1,In separate sentences,4,0.05878452826934685,18
64,microsoft/phi-1,As a compound,5,0.05121984866625513,1
65,microsoft/phi-1,In separate sentences,5,0.017669041500450212,1
66,microsoft/phi-1,As a compound,5,0.10446771612804324,18
67,microsoft/phi-1,In separate sentences,5,0.07168338587027687,18
68,microsoft/phi-1,As a compound,6,0.04352206794184685,1
69,microsoft/phi-1,In separate sentences,6,0.007032305679425918,1
70,microsoft/phi-1,As a compound,6,0.1038570739637128,18
71,microsoft/phi-1,In separate sentences,6,0.06290827911967885,18
72,microsoft/phi-1,As a compound,7,0.04401913705707858,1
73,microsoft/phi-1,In separate sentences,7,0.011666184972241915,1
74,microsoft/phi-1,As a compound,7,0.09678997678154533,18
75,microsoft/phi-1,In separate sentences,7,0.050262365344140934,18
76,microsoft/phi-1,As a compound,8,0.045885183407702604,1
77,microsoft/phi-1,In separate sentences,8,0.01671564664008772,1
78,microsoft/phi-1,As a compound,8,0.08491822441099539,18
79,microsoft/phi-1,In separate sentences,8,0.03383506912839773,18
80,microsoft/phi-1,As a compound,9,0.0434677434483789,1
81,microsoft/phi-1,In separate sentences,9,0.021105065712297946,1
82,microsoft/phi-1,As a compound,9,0.08677570078533949,18
83,microsoft/phi-1,In separate sentences,9,0.03217177185233446,18
84,microsoft/phi-1,As a compound,10,0.0510487265118311,1
85,microsoft/phi-1,In separate sentences,10,0.01974152092625244,1
86,microsoft/phi-1,As a compound,10,0.08070249398779356,18
87,microsoft/phi-1,In separate sentences,10,0.02640133114881848,18
88,microsoft/phi-1,As a compound,11,0.05309404369089935,1
89,microsoft/phi-1,In separate sentences,11,0.020148954627262055,1
90,microsoft/phi-1,As a compound,11,0.08369183010606394,18
91,microsoft/phi-1,In separate sentences,11,0.014027523609687238,18
92,microsoft/phi-1,As a compound,12,0.058148937808091945,1
93,microsoft/phi-1,In separate sentences,12,0.021270755417375192,1
94,microsoft/phi-1,As a compound,12,0.08671054858789,18
95,microsoft/phi-1,In separate sentences,12,0.007046018530051451,18
96,microsoft/phi-1,As a compound,13,0.03833407881565778,1
97,microsoft/phi-1,In separate sentences,13,0.0245220763514319,1
98,microsoft/phi-1,As a compound,13,0.07991428014806157,18
99,microsoft/phi-1,In separate sentences,13,0.0009702567443702435,18
100,microsoft/phi-1,As a compound,14,0.044407557185374404,1
101,microsoft/phi-1,In separate sentences,14,0.02205031189864025,1
102,microsoft/phi-1,As a compound,14,0.07570238220706263,18
103,microsoft/phi-1,In separate sentences,14,-0.004180599336341832,18
104,microsoft/phi-1,As a compound,15,0.03813307818982637,1
105,microsoft/phi-1,In separate sentences,15,0.0209475246812409,1
106,microsoft/phi-1,As a compound,15,0.05903491710660369,18
107,microsoft/phi-1,In separate sentences,15,-0.01072520144484579,18
108,microsoft/phi-1,As a compound,16,0.057635571344819836,1
109,microsoft/phi-1,In separate sentences,16,0.021341377258883524,1
110,microsoft/phi-1,As a compound,16,0.057683328383043825,18
111,microsoft/phi-1,In separate sentences,16,-0.01245237342429091,18
112,microsoft/phi-1,As a compound,17,0.05593521469927306,1
113,microsoft/phi-1,In separate sentences,17,0.021917216889643775,1
