,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences
0,openai-community/gpt2,1,not_processed_together,0.2807924629383324,0.16509889840480635,0.024879683041748903,0.24490346912747515
1,openai-community/gpt2,2,not_processed_together,0.3063731755995389,0.13020272728177087,0.06285393610547091,0.19287728246357835
2,openai-community/gpt2,3,not_processed_together,0.3028112730517497,0.14147165824528857,0.05757814495978823,0.20930874465777358
3,openai-community/gpt2,4,not_processed_together,0.2992493705039605,0.14811185112294376,0.05230235381410556,0.21887429028981709
4,openai-community/gpt2,5,not_processed_together,0.29575452473141683,0.17885168393974588,0.047102488942209746,0.2649818689608425
5,openai-community/gpt2,6,not_processed_together,0.29660308988383566,0.17930616640259675,0.04837398280751363,0.2653691589380563
6,openai-community/gpt2,7,not_processed_together,0.2860514957909591,0.18169027701956994,0.03269846191803934,0.26925180254461617
7,openai-community/gpt2,8,not_processed_together,0.2763484668505015,0.16067548823470482,0.01829443489386891,0.23804884000770507
8,openai-community/gpt2,9,not_processed_together,0.2798768410106679,0.15862292097441802,0.02353226290265815,0.23497574614956668
9,openai-community/gpt2,10,not_processed_together,0.2763484668505015,0.15774316372952907,0.01829443489386891,0.23368704940644375
10,openai-community/gpt2,11,not_processed_together,0.27638199523812434,0.1527061050372231,0.018332398030762344,0.22651713780069963
11,openai-community/gpt2,12,not_processed_together,0.27723056039054317,0.15148383298120147,0.019603891896066216,0.2243700154544236
12,microsoft/phi-1,1,not_processed_together,0.29307471572366917,0.14610322097921122,0.04313615479872438,0.21591727463634536
13,microsoft/phi-1,2,not_processed_together,0.2798433126230452,0.14374753992692024,0.02349429976576473,0.2124882054090182
14,microsoft/phi-1,3,not_processed_together,0.2984008053515416,0.13151822058977522,0.05103085994880167,0.19450964475252974
15,microsoft/phi-1,4,not_processed_together,0.2922261505712504,0.12100181360399083,0.0418646609334205,0.17888056891525517
16,microsoft/phi-1,5,not_processed_together,0.2869335893310007,0.11701170017445992,0.03400791892023664,0.17297246053024934
17,microsoft/phi-1,6,not_processed_together,0.291310528643586,0.11378346644482522,0.04051724079432977,0.16767549224686906
18,microsoft/phi-1,7,not_processed_together,0.2930747157236692,0.11660353599786005,0.04313615479872439,0.17187809687675581
19,microsoft/phi-1,8,not_processed_together,0.28601796740333635,0.1238895834444058,0.03266049878114591,0.18281826935306042
20,microsoft/phi-1,9,not_processed_together,0.2904619634911671,0.12139070360592756,0.039245746929025875,0.1794733381828579
21,microsoft/phi-1,10,not_processed_together,0.28957986995112545,0.12329099210961239,0.03793628992682858,0.1823120171657073
22,microsoft/phi-1,11,not_processed_together,0.28696711771862343,0.1210301011696608,0.03404588205713007,0.17937171250864872
23,microsoft/phi-1,12,not_processed_together,0.2843543654861215,0.11830516198782577,0.03015547418743157,0.175746472615409
24,microsoft/phi-1,13,not_processed_together,0.2860514957909591,0.12012739539280334,0.03269846191803933,0.1776232842729573
25,microsoft/phi-1,14,not_processed_together,0.28696711771862343,0.1274189427692755,0.034045882057130064,0.18887073260597206
26,microsoft/phi-1,15,not_processed_together,0.2825566500184155,0.1308184475922273,0.027498597046143516,0.1939544089656166
27,microsoft/phi-1,16,not_processed_together,0.2763484668505015,0.13017833063491432,0.01829443489386891,0.19266531895007288
28,microsoft/phi-1,17,not_processed_together,0.2789947474706263,0.13009246460195098,0.022222805900460847,0.19251919133054235
29,microsoft/phi-1,18,not_processed_together,0.2745842797704183,0.13103961518422072,0.0156755208894743,0.19395982097539644
30,microsoft/phi-1,19,not_processed_together,0.2701738120702102,0.12896837692058646,0.009128235878487745,0.19090668101991634
31,microsoft/phi-1,20,not_processed_together,0.2710559056102519,0.1312600085568895,0.010437692880685056,0.1943120909137995
32,microsoft/phi-1,21,not_processed_together,0.27461780815804104,0.12493097238300666,0.01571348402636772,0.18525924445036743
33,microsoft/phi-1,22,not_processed_together,0.2692917185301687,0.12439740502536056,0.007818778876290436,0.18410740285027033
34,microsoft/phi-1,23,not_processed_together,0.26491477921758344,0.12288430026419873,0.0013094570021973094,0.1822875146499522
35,microsoft/phi-1,24,not_processed_together,0.27370218623037673,0.13021037049841833,0.014366063887276985,0.19273128190350883
36,meta-llama/Llama-3.2-1B,1,not_processed_together,0.3054910820594972,0.15364976845366868,0.06154447910327359,0.22775142876807272
37,meta-llama/Llama-3.2-1B,2,not_processed_together,0.33208800181123654,0.15901350740514214,0.1009800417167666,0.23675329650157875
38,meta-llama/Llama-3.2-1B,3,not_processed_together,0.3347342824313614,0.1591899021318349,0.10490841272335855,0.23700051285867674
39,meta-llama/Llama-3.2-1B,4,not_processed_together,0.3391447501315694,0.1739515042461027,0.11145569773434509,0.25883478118651304
40,meta-llama/Llama-3.2-1B,5,not_processed_together,0.33816207142865945,0.17303093908727085,0.1100323513214675,0.2566758121848586
41,meta-llama/Llama-3.2-1B,6,not_processed_together,0.34260606751649025,0.1793125656649166,0.1166175994693475,0.2662509404375659
42,meta-llama/Llama-3.2-1B,7,not_processed_together,0.3364314127361991,0.17006718978421184,0.10745140045396633,0.2525609742805482
43,meta-llama/Llama-3.2-1B,8,not_processed_together,0.3426395959041131,0.16952606638741713,0.11665556260624092,0.2519991252220581
44,meta-llama/Llama-3.2-1B,9,not_processed_together,0.3479321571443627,0.1689346296956798,0.1245123046194248,0.25109578773075364
45,meta-llama/Llama-3.2-1B,10,not_processed_together,0.34881425068440425,0.16918804247661334,0.12582176162162206,0.2514670877319354
46,meta-llama/Llama-3.2-1B,11,not_processed_together,0.34175750236407143,0.17197737103471342,0.1153461056040436,0.2556375660934541
47,meta-llama/Llama-3.2-1B,12,not_processed_together,0.3567530925447787,0.18386821335624465,0.13760687464139787,0.2731983396744606
48,meta-llama/Llama-3.2-1B,13,not_processed_together,0.35498890546469547,0.18398192046823714,0.13498796063700327,0.27337511094081135
49,meta-llama/Llama-3.2-1B,14,not_processed_together,0.36028146670494515,0.18835932242467682,0.14284470265018712,0.2798435430665601
50,meta-llama/Llama-3.2-1B,15,not_processed_together,0.3505784377644875,0.18595772814234493,0.12844067562601671,0.2763255561563827
51,meta-llama/Llama-3.2-1B,16,not_processed_together,0.3541068119246539,0.18655195843620076,0.13367850363480596,0.2771907820585181
52,bert-base-uncased,1,not_processed_together,0.2992828988915832,0.11599642328790848,0.05234031695099898,0.17136308954090776
53,bert-base-uncased,2,not_processed_together,0.30460898851945567,0.10231134747244401,0.06023502210107628,0.15137685420508007
54,bert-base-uncased,3,not_processed_together,0.3045754601318328,0.10623695387051198,0.06019705896418284,0.1567535208760006
55,bert-base-uncased,4,not_processed_together,0.31784039162007977,0.11967972439490847,0.07987687713403593,0.1771352199462452
56,bert-base-uncased,5,not_processed_together,0.3293746644158662,0.11436662539567526,0.09697574443638783,0.16997504858957888
57,bert-base-uncased,6,not_processed_together,0.3275769489481602,0.11839530090797121,0.09431886729509979,0.17556177611309756
58,bert-base-uncased,7,not_processed_together,0.3169247696924153,0.11939618645791719,0.0785294569949452,0.1763008069789414
59,bert-base-uncased,8,not_processed_together,0.31597561937712826,0.12220375062107958,0.07714407371896104,0.17964404359960207
60,bert-base-uncased,9,not_processed_together,0.32391446123750267,0.11875241690554804,0.08892918673873682,0.1744066252044208
61,bert-base-uncased,10,not_processed_together,0.32839198571295625,0.12143016635289086,0.09555239802351023,0.17925103923915175
62,bert-base-uncased,11,not_processed_together,0.3293076076406206,0.11203203454199832,0.09689981816260099,0.16565536803925032
63,bert-base-uncased,12,not_processed_together,0.32924055086537507,0.12414868435845319,0.0968238918888141,0.1828871102147933
64,roberta-base,1,not_processed_together,0.24808794518154736,0.1233117354036356,-0.023646152313338442,0.18223589838888027
65,roberta-base,2,not_processed_together,0.2507006974140494,0.12415946405647672,-0.01975574444363994,0.18306259426198684
66,roberta-base,3,not_processed_together,0.2745172229951727,0.12398262971924191,0.015599594615687438,0.18262040830358695
67,roberta-base,4,not_processed_together,0.2816074997031283,0.12363021042751894,0.026113213770159353,0.1824634883046312
68,roberta-base,5,not_processed_together,0.29836727696391885,0.12858940837113425,0.050992896811908245,0.18974767087387406
69,roberta-base,6,not_processed_together,0.30718821236433486,0.13898532077966494,0.06408746683388135,0.20520823435336594
70,roberta-base,7,not_processed_together,0.2939903376513336,0.13345008060345942,0.044483574937815115,0.19741774343204918
71,roberta-base,8,not_processed_together,0.30990154975970524,0.13223483709546166,0.06809176411426016,0.19587656032855338
