,model,layer,binom_p_val,num_success
0,bert-base-uncased,1,"BinomTestResult(k=1504, n=1770, alternative='two-sided', statistic=0.8497175141242937, pvalue=1.992632840587082e-209)",1504
1,bert-base-uncased,2,"BinomTestResult(k=1516, n=1770, alternative='two-sided', statistic=0.8564971751412429, pvalue=1.362548695708203e-218)",1516
2,bert-base-uncased,3,"BinomTestResult(k=1546, n=1770, alternative='two-sided', statistic=0.8734463276836159, pvalue=8.710890903602853e-243)",1546
3,bert-base-uncased,4,"BinomTestResult(k=1535, n=1770, alternative='two-sided', statistic=0.867231638418079, pvalue=1.075237827295298e-233)",1535
4,bert-base-uncased,5,"BinomTestResult(k=1560, n=1770, alternative='two-sided', statistic=0.8813559322033898, pvalue=9.548485416479576e-255)",1560
5,bert-base-uncased,6,"BinomTestResult(k=1568, n=1770, alternative='two-sided', statistic=0.8858757062146893, pvalue=8.73354947389911e-262)",1568
6,bert-base-uncased,7,"BinomTestResult(k=1543, n=1770, alternative='two-sided', statistic=0.8717514124293785, pvalue=2.7903618134336116e-240)",1543
7,bert-base-uncased,8,"BinomTestResult(k=1535, n=1770, alternative='two-sided', statistic=0.867231638418079, pvalue=1.075237827295298e-233)",1535
8,bert-base-uncased,9,"BinomTestResult(k=1523, n=1770, alternative='two-sided', statistic=0.86045197740113, pvalue=4.531950891221079e-224)",1523
9,bert-base-uncased,10,"BinomTestResult(k=1477, n=1770, alternative='two-sided', statistic=0.8344632768361582, pvalue=8.431556472301406e-190)",1477
10,bert-base-uncased,11,"BinomTestResult(k=1473, n=1770, alternative='two-sided', statistic=0.8322033898305085, pvalue=5.262695844010796e-187)",1473
11,bert-base-uncased,12,"BinomTestResult(k=1472, n=1770, alternative='two-sided', statistic=0.831638418079096, pvalue=2.6039808257292687e-186)",1472
12,roberta-base,1,"BinomTestResult(k=1474, n=1770, alternative='two-sided', statistic=0.8327683615819209, pvalue=1.0593153286267998e-187)",1474
13,roberta-base,2,"BinomTestResult(k=1504, n=1770, alternative='two-sided', statistic=0.8497175141242937, pvalue=1.992632840587082e-209)",1504
14,roberta-base,3,"BinomTestResult(k=1526, n=1770, alternative='two-sided', statistic=0.8621468926553673, pvalue=1.8971168388288622e-226)",1526
15,roberta-base,4,"BinomTestResult(k=1527, n=1770, alternative='two-sided', statistic=0.8627118644067797, pvalue=3.0286793557019808e-227)",1527
16,roberta-base,5,"BinomTestResult(k=1498, n=1770, alternative='two-sided', statistic=0.8463276836158192, pvalue=5.994667122903038e-205)",1498
17,roberta-base,6,"BinomTestResult(k=1526, n=1770, alternative='two-sided', statistic=0.8621468926553673, pvalue=1.8971168388288622e-226)",1526
18,roberta-base,7,"BinomTestResult(k=1534, n=1770, alternative='two-sided', statistic=0.8666666666666667, pvalue=6.999800569885878e-233)",1534
19,roberta-base,8,"BinomTestResult(k=1548, n=1770, alternative='two-sided', statistic=0.8745762711864407, pvalue=1.813866148684321e-244)",1548
20,roberta-base,9,"BinomTestResult(k=1583, n=1770, alternative='two-sided', statistic=0.8943502824858757, pvalue=2.0965360635087198e-275)",1583
21,roberta-base,10,"BinomTestResult(k=1587, n=1770, alternative='two-sided', statistic=0.8966101694915254, pvalue=3.915605308752249e-279)",1587
22,roberta-base,11,"BinomTestResult(k=1623, n=1770, alternative='two-sided', statistic=0.9169491525423729, pvalue=1.059296796e-314)",1623
23,roberta-base,12,"BinomTestResult(k=1504, n=1770, alternative='two-sided', statistic=0.8497175141242937, pvalue=1.992632840587082e-209)",1504
24,bert-base-japanese,1,"BinomTestResult(k=1282, n=1770, alternative='two-sided', statistic=0.7242937853107345, pvalue=4.6063696914058675e-82)",1282
25,bert-base-japanese,2,"BinomTestResult(k=1269, n=1770, alternative='two-sided', statistic=0.7169491525423729, pvalue=1.0462977604785049e-76)",1269
26,bert-base-japanese,3,"BinomTestResult(k=1292, n=1770, alternative='two-sided', statistic=0.7299435028248588, pvalue=2.5258126537945906e-86)",1292
27,bert-base-japanese,4,"BinomTestResult(k=1312, n=1770, alternative='two-sided', statistic=0.7412429378531074, pvalue=3.2091026424479696e-95)",1312
28,bert-base-japanese,5,"BinomTestResult(k=1304, n=1770, alternative='two-sided', statistic=0.7367231638418079, pvalue=1.3342704402952457e-91)",1304
29,bert-base-japanese,6,"BinomTestResult(k=1277, n=1770, alternative='two-sided', statistic=0.7214689265536723, pvalue=5.5948977739554284e-80)",1277
