,sentence,head_noun,head_noun_match,and_word,and_word_match
0,There are adventure months and,months,months,and,and
1,There are retirement months and,months,months,and,and
2,There are jail months and,months,months,and,and
3,There are adventure bookings and,bookings,bookings,and,and
4,It is an adventure commercial and,commercial,commercial,and,and
5,It is air power and,power,power,and,and
6,It is solar power and,power,power,and,and
7,It is manual power and,power,power,and,and
8,It is an air current and,current,current,and,and
9,It is an air blast and,blast,blast,and,and
10,It is a birth rash and,rash,rash,and,and
11,It is an allergy rash and,rash,rash,and,and
12,It is an arm rash and,rash,rash,and,and
13,It is a birth cramp and,cramp,cramp,and,and
14,It is a birth event and,event,event,and,and
15,It is a cable brake and,brake,brake,and,and
16,It is an electric brake and,brake,brake,and,and
17,It is a bicycle brake and,brake,brake,and,and
18,It is a cable pulley and,pulley,pulley,and,and
19,It is a cable bobbin and,bobbin,bobbin,and,and
20,It is a cactus bee and,bee,bee,and,and
21,It is a picnic bee and,bee,bee,and,and
22,It is a syrup bee and,bee,bee,and,and
23,It is a cactus chipmunk and,chipmunk,chipmunk,and,and
24,It is a cactus root and,root,root,and,and
25,It is cane sugar and,sugar,sugar,and,and
26,It is peach sugar and,sugar,sugar,and,and
27,It is breakfast sugar and,sugar,sugar,and,and
28,It is cane juice and,juice,juice,and,and
29,It is a cane plantation and,plantation,plantation,and,and
30,There are chocolate shavings and,shavings,shavings,and,and
31,There are grass shavings and,shavings,shavings,and,and
32,There are dried shavings and,shavings,shavings,and,and
33,It is a chocolate power and,power,power,and,and
34,It is a chocolate recipe and,recipe,recipe,and,and
35,It is a coal town and,town,town,and,and
36,It is a festival town and,town,town,and,and
37,It is a valley town and,town,town,and,and
38,It is a coal country and,country,country,and,and
39,It is a coal machine and,machine,machine,and,and
40,It is coffee tension and,tension,tension,and,and
41,It is examination tension and,tension,tension,and,and
42,It is muscle tension and,tension,tension,and,and
43,It is a coffee stain and,stain,stain,and,and
44,It is a coffee container and,container,container,and,and
45,There are college lakes and,lakes,lakes,and,and
46,There are farmer lakes and,lakes,lakes,and,and
47,There are minnow lakes and,lakes,lakes,and,and
48,It is a college property and,property,property,and,and
49,It is a college publication and,publication,publication,and,and
50,It is cream sauce and,sauce,sauce,and,and
51,It is pumpkin sauce and,sauce,sauce,and,and
52,It is potato sauce and,sauce,sauce,and,and
53,It is a cream bread and,bread,bread,and,and
54,It is a cream churn and,churn,churn,and,and
55,It is a family cow and,cow,cow,and,and
56,It is a school cow and,cow,cow,and,and
57,It is a dairy cow and,cow,cow,and,and
58,It is a family garden and,garden,garden,and,and
59,It is a family church and,church,church,and,and
60,It is a financial headache and,headache,headache,and,and
61,It is an alcohol headache and,headache,headache,and,and
62,It is a fatal headache and,headache,headache,and,and
63,It is a financial problem and,problem,problem,and,and
64,It is a financial remedy and,remedy,remedy,and,and
65,It is a fish gland and,gland,gland,and,and
66,It is a reptile gland and,gland,gland,and,and
67,It is an underdeveloped gland and,gland,gland,and,and
68,It is a fish fin and,fin,fin,and,and
69,It is a fish stew and,stew,stew,and,and
70,It is a floral wreath and,wreath,wreath,and,and
71,It is a yarn wreath and,wreath,wreath,and,and
72,It is a Christmas wreath and,wreath,wreath,and,and
73,It is a floral perfume and,perfume,perfume,and,and
74,It is a floral fabric and,fabric,fabric,and,and
75,There are flu pills and,pills,pills,and,and
76,There are infant pills and,pills,pills,and,and
77,There are medicinal pills and,pills,pills,and,and
78,It is flu therapy and,therapy,therapy,and,and
79,It is a flu outbreak and,outbreak,outbreak,and,and
80,It is fruit food and,food,food,and,and
81,It is hot food and,food,food,and,and
82,It is package food and,food,food,and,and
83,It is a fruit slice and,slice,slice,and,and
84,It is a fruit seed and,seed,seed,and,and
85,It is a gas lamp and,lamp,lamp,and,and
86,It is a battery lamp and,lamp,lamp,and,and
87,It is a cabin lamp and,lamp,lamp,and,and
88,It is a gas car and,car,car,and,and
89,It is a gas hose and,hose,hose,and,and
90,It is a grain law and,law,law,and,and
91,It is a traffic law and,law,law,and,and
92,It is a state law and,law,law,and,and
93,It is a grain controversy and,controversy,controversy,and,and
94,It is a grain dish and,dish,dish,and,and
95,It is a gutter hole and,hole,hole,and,and
96,It is a prairie hole and,hole,hole,and,and
97,It is a rodent hole and,hole,hole,and,and
98,It is a gutter rodent and,rodent,rodent,and,and
99,It is gutter drainage and,drainage,drainage,and,and
100,It is a heat iron and,iron,iron,and,and
101,It is a pancake iron and,iron,iron,and,and
102,It is a ceramic iron and,iron,iron,and,and
103,It is a heat pad and,pad,pad,and,and
104,It is a heat regulator and,regulator,regulator,and,and
105,There are historical members and,members,members,and,and
106,There are foreign members and,members,members,and,and
107,There are hospital members and,members,members,and,and
108,It is a historical elder and,elder,elder,and,and
109,There are historical archives and,archives,archives,and,and
110,It is a home light and,light,light,and,and
111,It is a reading light and,light,light,and,and
112,It is a glass light and,light,light,and,and
113,It is home paint and,paint,paint,and,and
114,It is a home dispute and,dispute,dispute,and,and
115,It is honey soup and,soup,soup,and,and
116,It is ham soup and,soup,soup,and,and
117,It is holiday soup and,soup,soup,and,and
118,It is a honey muffin and,muffin,muffin,and,and
119,It is a honey insect and,insect,insect,and,and
120,There are horse scales and,scales,scales,and,and
121,There are chemistry scales and,scales,scales,and,and
122,There are metal scales and,scales,scales,and,and
123,There are horse stables and,stables,stables,and,and
124,It is a horse auction and,auction,auction,and,and
125,It is job language and,language,language,and,and
126,It is California language and,language,language,and,and
127,It is verbal language and,language,language,and,and
128,It is a job completion and,completion,completion,and,and
129,It is job anxiety and,anxiety,anxiety,and,and
130,It is juvenile underwear and,underwear,underwear,and,and
131,It is evening underwear and,underwear,underwear,and,and
132,It is flannel underwear and,underwear,underwear,and,and
133,It is a juvenile swing and,swing,swing,and,and
134,It is juvenile behavior and,behavior,behavior,and,and
135,It is a lemon plant and,plant,plant,and,and
136,It is a pollen plant and,plant,plant,and,and
137,It is a farm plant and,plant,plant,and,and
138,It is a lemon tree and,tree,tree,and,and
139,It is a lemon biscuit and,biscuit,biscuit,and,and
140,It is a Marine antique and,antique,antique,and,and
141,It is a library antique and,antique,antique,and,and
142,It is a sewing antique and,antique,antique,and,and
143,It is a Marine gun and,gun,gun,and,and
144,It is a Marine attack and,attack,attack,and,and
145,There are marital instincts and,instincts,instincts,and,and
146,There are academic instincts and,instincts,instincts,and,and
147,There are evolved instincts and,instincts,instincts,and,and
148,It is marital preparation and,preparation,preparation,and,and
149,It is marital happiness and,happiness,happiness,and,and
150,It is a milk virus and,virus,virus,and,and
151,It is a throat virus and,virus,virus,and,and
152,It is a dormant virus and,virus,virus,and,and
153,It is a milk bacterium and,bacterium,bacterium,and,and
154,It is a milk pudding and,pudding,pudding,and,and
155,There are morning signals and,signals,signals,and,and
156,There are pregnancy signals and,signals,signals,and,and
157,There are animal signals and,signals,signals,and,and
158,It is morning medication and,medication,medication,and,and
159,It is morning meditation and,meditation,meditation,and,and
160,It is a moth shape and,shape,shape,and,and
161,It is a mould shape and,shape,shape,and,and
162,It is an oval shape and,shape,shape,and,and
163,It is a moth wing and,wing,wing,and,and
164,It is a moth insecticide and,insecticide,insecticide,and,and
165,It is a mountain breeze and,breeze,breeze,and,and
166,It is a kitchen breeze and,breeze,breeze,and,and
167,It is a storm breeze and,breeze,breeze,and,and
168,It is a mountain cabin and,cabin,cabin,and,and
169,It is a mountain magazine and,magazine,magazine,and,and
170,It is a municipal forest and,forest,forest,and,and
171,It is a royalty forest and,forest,forest,and,and
172,It is an alpine forest and,forest,forest,and,and
173,It is a municipal pool and,pool,pool,and,and
174,It is a municipal campaign and,campaign,campaign,and,and
175,It is a murder film and,film,film,and,and
176,It is a poverty film and,film,film,and,and
177,It is a foreign film and,film,film,and,and
178,It is a murder investigation and,investigation,investigation,and,and
179,It is a murder attempt and,attempt,attempt,and,and
180,There are national resources and,resources,resources,and,and
181,There are company resources and,resources,resources,and,and
182,There are gold resources and,resources,resources,and,and
183,It is a national police and,police,police,and,and
184,It is a national mistake and,mistake,mistake,and,and
185,It is a nose sound and,sound,sound,and,and
186,It is a drum sound and,sound,sound,and,and
187,It is an unidentified sound and,sound,sound,and,and
188,It is a nose itch and,itch,itch,and,and
189,It is a nose movement and,movement,movement,and,and
190,It is an office charge and,charge,charge,and,and
191,It is a doctor charge and,charge,charge,and,and
192,It is a royalty charge and,charge,charge,and,and
193,It is an office statement and,statement,statement,and,and
194,It is an office notepad and,notepad,notepad,and,and
195,It is an oil treatment and,treatment,treatment,and,and
196,It is a surgery treatment and,treatment,treatment,and,and
197,It is a disease treatment and,treatment,treatment,and,and
198,It is an oil moisturizer and,moisturizer,moisturizer,and,and
199,It is an oil accident and,accident,accident,and,and
200,It is an olive season and,season,season,and,and
201,It is a gestation season and,season,season,and,and
202,It is a humidity season and,season,season,and,and
203,It is olive fertilizer and,fertilizer,fertilizer,and,and
204,It is an olive paste and,paste,paste,and,and
205,It is paper equipment and,equipment,equipment,and,and
206,It is construction equipment and,equipment,equipment,and,and
207,It is steel equipment and,equipment,equipment,and,and
208,There are paper staples and,staples,staples,and,and
209,It is a paper sculpture and,sculpture,sculpture,and,and
210,It is a party dance and,dance,dance,and,and
211,It is a hall dance and,dance,dance,and,and
212,It is a peasant dance and,dance,dance,and,and
213,It is a party toast and,toast,toast,and,and
214,It is a party invitation and,invitation,invitation,and,and
215,It is pine oil and,oil,oil,and,and
216,It is pig oil and,oil,oil,and,and
217,It is tanning oil and,oil,oil,and,and
218,It is a pine bark and,bark,bark,and,and
219,It is pine furniture and,furniture,furniture,and,and
220,It is a plastic report and,report,report,and,and
221,It is a war report and,report,report,and,and
222,It is a company report and,report,report,and,and
223,It is a plastic shortage and,shortage,shortage,and,and
224,It is a plastic shortage and,shortage,shortage,and,and
225,It is a servant comedy and,comedy,comedy,and,and
226,It is an economic comedy and,comedy,comedy,and,and
