,sentence,head_noun,head_noun_match,that_word,that_word_match
0,There are adventure months that,months,months,that,that
1,There are retirement months that,months,months,that,that
2,There are jail months that,months,months,that,that
3,There are adventure bookings that,bookings,bookings,that,that
4,It is an adventure commercial that,commercial,commercial,that,that
5,It is air power that,power,power,that,that
6,It is solar power that,power,power,that,that
7,It is manual power that,power,power,that,that
8,It is an air current that,current,current,that,that
9,It is an air blast that,blast,blast,that,that
10,It is a birth rash that,rash,rash,that,that
11,It is an allergy rash that,rash,rash,that,that
12,It is an arm rash that,rash,rash,that,that
13,It is a birth cramp that,cramp,cramp,that,that
14,It is a birth event that,event,event,that,that
15,It is a cable brake that,brake,brake,that,that
16,It is an electric brake that,brake,brake,that,that
17,It is a bicycle brake that,brake,brake,that,that
18,It is a cable pulley that,pulley,pulley,that,that
19,It is a cable bobbin that,bobbin,bobbin,that,that
20,It is a cactus bee that,bee,bee,that,that
21,It is a picnic bee that,bee,bee,that,that
22,It is a syrup bee that,bee,bee,that,that
23,It is a cactus chipmunk that,chipmunk,chipmunk,that,that
24,It is a cactus root that,root,root,that,that
25,It is cane sugar that,sugar,sugar,that,that
26,It is peach sugar that,sugar,sugar,that,that
27,It is breakfast sugar that,sugar,sugar,that,that
28,It is cane juice that,juice,juice,that,that
29,It is a cane plantation that,plantation,plantation,that,that
30,There are chocolate shavings that,shavings,shavings,that,that
31,There are grass shavings that,shavings,shavings,that,that
32,There are dried shavings that,shavings,shavings,that,that
33,It is a chocolate power that,power,power,that,that
34,It is a chocolate recipe that,recipe,recipe,that,that
35,It is a coal town that,town,town,that,that
36,It is a festival town that,town,town,that,that
37,It is a valley town that,town,town,that,that
38,It is a coal country that,country,country,that,that
39,It is a coal machine that,machine,machine,that,that
40,It is coffee tension that,tension,tension,that,that
41,It is examination tension that,tension,tension,that,that
42,It is muscle tension that,tension,tension,that,that
43,It is a coffee stain that,stain,stain,that,that
44,It is a coffee container that,container,container,that,that
45,There are college lakes that,lakes,lakes,that,that
46,There are farmer lakes that,lakes,lakes,that,that
47,There are minnow lakes that,lakes,lakes,that,that
48,It is a college property that,property,property,that,that
49,It is a college publication that,publication,publication,that,that
50,It is cream sauce that,sauce,sauce,that,that
51,It is pumpkin sauce that,sauce,sauce,that,that
52,It is potato sauce that,sauce,sauce,that,that
53,It is a cream bread that,bread,bread,that,that
54,It is a cream churn that,churn,churn,that,that
55,It is a family cow that,cow,cow,that,that
56,It is a school cow that,cow,cow,that,that
57,It is a dairy cow that,cow,cow,that,that
58,It is a family garden that,garden,garden,that,that
59,It is a family church that,church,church,that,that
60,It is a financial headache that,headache,headache,that,that
61,It is an alcohol headache that,headache,headache,that,that
62,It is a fatal headache that,headache,headache,that,that
63,It is a financial problem that,problem,problem,that,that
64,It is a financial remedy that,remedy,remedy,that,that
65,It is a fish gland that,gland,gland,that,that
66,It is a reptile gland that,gland,gland,that,that
67,It is an underdeveloped gland that,gland,gland,that,that
68,It is a fish fin that,fin,fin,that,that
69,It is a fish stew that,stew,stew,that,that
70,It is a floral wreath that,wreath,wreath,that,that
71,It is a yarn wreath that,wreath,wreath,that,that
72,It is a Christmas wreath that,wreath,wreath,that,that
73,It is a floral perfume that,perfume,perfume,that,that
74,It is a floral fabric that,fabric,fabric,that,that
75,There are flu pills that,pills,pills,that,that
76,There are infant pills that,pills,pills,that,that
77,There are medicinal pills that,pills,pills,that,that
78,It is flu therapy that,therapy,therapy,that,that
79,It is a flu outbreak that,outbreak,outbreak,that,that
80,It is fruit food that,food,food,that,that
81,It is hot food that,food,food,that,that
82,It is package food that,food,food,that,that
