,model,layer,binom_p_val,num_success
0,bert-base-uncased,1,"BinomTestResult(k=683, n=820, alternative='two-sided', statistic=0.8329268292682926, pvalue=6.494406903323577e-88)",683
1,bert-base-uncased,2,"BinomTestResult(k=702, n=820, alternative='two-sided', statistic=0.8560975609756097, pvalue=7.0971179946044495e-102)",702
2,bert-base-uncased,3,"BinomTestResult(k=697, n=820, alternative='two-sided', statistic=0.85, pvalue=4.646889916895073e-98)",697
3,bert-base-uncased,4,"BinomTestResult(k=712, n=820, alternative='two-sided', statistic=0.8682926829268293, pvalue=7.833977554892483e-110)",712
4,bert-base-uncased,5,"BinomTestResult(k=712, n=820, alternative='two-sided', statistic=0.8682926829268293, pvalue=7.833977554892483e-110)",712
5,bert-base-uncased,6,"BinomTestResult(k=730, n=820, alternative='two-sided', statistic=0.8902439024390244, pvalue=2.409121146871142e-125)",730
6,bert-base-uncased,7,"BinomTestResult(k=733, n=820, alternative='two-sided', statistic=0.8939024390243903, pvalue=4.307047536033494e-128)",733
7,bert-base-uncased,8,"BinomTestResult(k=737, n=820, alternative='two-sided', statistic=0.8987804878048781, pvalue=7.809039083534016e-132)",737
8,bert-base-uncased,9,"BinomTestResult(k=734, n=820, alternative='two-sided', statistic=0.8951219512195122, pvalue=5.096307400951289e-129)",734
9,bert-base-uncased,10,"BinomTestResult(k=741, n=820, alternative='two-sided', statistic=0.9036585365853659, pvalue=1.1439214143481692e-135)",741
10,bert-base-uncased,11,"BinomTestResult(k=737, n=820, alternative='two-sided', statistic=0.8987804878048781, pvalue=7.809039083534016e-132)",737
11,bert-base-uncased,12,"BinomTestResult(k=700, n=820, alternative='two-sided', statistic=0.8536585365853658, pvalue=2.455531426583759e-100)",700
12,roberta-base,1,"BinomTestResult(k=538, n=820, alternative='two-sided', statistic=0.6560975609756098, pvalue=2.7463224557640726e-19)",538
13,roberta-base,2,"BinomTestResult(k=587, n=820, alternative='two-sided', statistic=0.7158536585365853, pvalue=5.0932186239055296e-36)",587
14,roberta-base,3,"BinomTestResult(k=637, n=820, alternative='two-sided', statistic=0.776829268292683, pvalue=1.5454563369350332e-59)",637
15,roberta-base,4,"BinomTestResult(k=645, n=820, alternative='two-sided', statistic=0.7865853658536586, pvalue=5.6780357150726164e-64)",645
16,roberta-base,5,"BinomTestResult(k=619, n=820, alternative='two-sided', statistic=0.7548780487804878, pvalue=2.914608766557222e-50)",619
17,roberta-base,6,"BinomTestResult(k=645, n=820, alternative='two-sided', statistic=0.7865853658536586, pvalue=5.6780357150726164e-64)",645
18,roberta-base,7,"BinomTestResult(k=624, n=820, alternative='two-sided', statistic=0.7609756097560976, pvalue=9.619210309915268e-53)",624
19,roberta-base,8,"BinomTestResult(k=644, n=820, alternative='two-sided', statistic=0.7853658536585366, pvalue=2.0864770956517802e-63)",644
20,roberta-base,9,"BinomTestResult(k=654, n=820, alternative='two-sided', statistic=0.7975609756097561, pvalue=3.3443024689499464e-69)",654
21,roberta-base,10,"BinomTestResult(k=673, n=820, alternative='two-sided', statistic=0.8207317073170731, pvalue=3.9854068885888844e-81)",673
22,roberta-base,11,"BinomTestResult(k=662, n=820, alternative='two-sided', statistic=0.8073170731707318, pvalue=4.505008630458603e-74)",662
23,roberta-base,12,"BinomTestResult(k=630, n=820, alternative='two-sided', statistic=0.7682926829268293, pvalue=8.1221972231238935e-56)",630
24,bert-base-japanese,1,"BinomTestResult(k=412, n=820, alternative='two-sided', statistic=0.5024390243902439, pvalue=0.9165710150858601)",412
25,bert-base-japanese,2,"BinomTestResult(k=423, n=820, alternative='two-sided', statistic=0.5158536585365854, pvalue=0.3826540189152517)",423
26,bert-base-japanese,3,"BinomTestResult(k=416, n=820, alternative='two-sided', statistic=0.5073170731707317, pvalue=0.7009018739649199)",416
27,bert-base-japanese,4,"BinomTestResult(k=399, n=820, alternative='two-sided', statistic=0.4865853658536585, pvalue=0.4633649669229771)",399
28,bert-base-japanese,5,"BinomTestResult(k=428, n=820, alternative='two-sided', statistic=0.5219512195121951, pvalue=0.22158882428364376)",428
29,bert-base-japanese,6,"BinomTestResult(k=402, n=820, alternative='two-sided', statistic=0.4902439024390244, pvalue=0.6004287832445224)",402
30,bert-base-japanese,7,"BinomTestResult(k=385, n=820, alternative='two-sided', statistic=0.4695121951219512, pvalue=0.0869907486928541)",385
31,bert-base-japanese,8,"BinomTestResult(k=378, n=820, alternative='two-sided', statistic=0.4609756097560976, pvalue=0.02774199646266365)",378
32,bert-base-japanese,9,"BinomTestResult(k=308, n=820, alternative='two-sided', statistic=0.375609756097561, pvalue=1.0380780198219413e-12)",308
33,bert-base-japanese,10,"BinomTestResult(k=301, n=820, alternative='two-sided', statistic=0.3670731707317073, pvalue=2.486929568752078e-14)",301
34,bert-base-japanese,11,"BinomTestResult(k=319, n=820, alternative='two-sided', statistic=0.38902439024390245, pvalue=2.2060289464427748e-10)",319
35,bert-base-japanese,12,"BinomTestResult(k=348, n=820, alternative='two-sided', statistic=0.424390243902439, pvalue=1.684809356270121e-05)",348
36,openai-community/gpt2,1,"BinomTestResult(k=522, n=820, alternative='two-sided', statistic=0.6365853658536585, pvalue=4.6509365474873814e-15)",522
37,openai-community/gpt2,2,"BinomTestResult(k=548, n=820, alternative='two-sided', statistic=0.6682926829268293, pvalue=3.127135041397736e-22)",548
38,openai-community/gpt2,3,"BinomTestResult(k=566, n=820, alternative='two-sided', statistic=0.6902439024390243, pvalue=3.9555134979486856e-28)",566
39,openai-community/gpt2,4,"BinomTestResult(k=571, n=820, alternative='two-sided', statistic=0.6963414634146341, pvalue=6.590359584650371e-30)",571
40,openai-community/gpt2,5,"BinomTestResult(k=593, n=820, alternative='two-sided', statistic=0.723170731707317, pvalue=1.760822996303339e-38)",593
41,openai-community/gpt2,6,"BinomTestResult(k=608, n=820, alternative='two-sided', statistic=0.7414634146341463, pvalue=4.729067726453494e-45)",608
42,openai-community/gpt2,7,"BinomTestResult(k=621, n=820, alternative='two-sided', statistic=0.7573170731707317, pvalue=3.02423713512731e-51)",621
43,openai-community/gpt2,8,"BinomTestResult(k=620, n=820, alternative='two-sided', statistic=0.7560975609756098, pvalue=9.419477033567984e-51)",620
44,openai-community/gpt2,9,"BinomTestResult(k=617, n=820, alternative='two-sided', statistic=0.7524390243902439, pvalue=2.7362357380357586e-49)",617
45,openai-community/gpt2,10,"BinomTestResult(k=608, n=820, alternative='two-sided', statistic=0.7414634146341463, pvalue=4.729067726453494e-45)",608
46,openai-community/gpt2,11,"BinomTestResult(k=639, n=820, alternative='two-sided', statistic=0.7792682926829269, pvalue=1.2555407340363877e-60)",639
47,openai-community/gpt2,12,"BinomTestResult(k=482, n=820, alternative='two-sided', statistic=0.5878048780487805, pvalue=5.555528854423462e-07)",482
