,model,layer,binom_p_val,num_success
0,roberta-base,1,"BinomTestResult(k=1319, n=1770, alternative='two-sided', statistic=0.7451977401129943, pvalue=1.8746519993894064e-98)",1319
1,roberta-base,2,"BinomTestResult(k=1353, n=1770, alternative='two-sided', statistic=0.764406779661017, pvalue=4.535894035349758e-115)",1353
2,roberta-base,3,"BinomTestResult(k=1403, n=1770, alternative='two-sided', statistic=0.7926553672316384, pvalue=2.170672161923854e-142)",1403
3,roberta-base,4,"BinomTestResult(k=1394, n=1770, alternative='two-sided', statistic=0.7875706214689265, pvalue=3.3033438101672035e-137)",1394
4,roberta-base,5,"BinomTestResult(k=1377, n=1770, alternative='two-sided', statistic=0.7779661016949152, pvalue=9.683552202937987e-128)",1377
5,roberta-base,6,"BinomTestResult(k=1404, n=1770, alternative='two-sided', statistic=0.7932203389830509, pvalue=5.667179486895448e-143)",1404
6,roberta-base,7,"BinomTestResult(k=1388, n=1770, alternative='two-sided', statistic=0.784180790960452, pvalue=8.088549643173658e-134)",1388
7,roberta-base,8,"BinomTestResult(k=1394, n=1770, alternative='two-sided', statistic=0.7875706214689265, pvalue=3.3033438101672035e-137)",1394
8,roberta-base,9,"BinomTestResult(k=1372, n=1770, alternative='two-sided', statistic=0.7751412429378531, pvalue=4.919596818238131e-125)",1372
9,roberta-base,10,"BinomTestResult(k=1364, n=1770, alternative='two-sided', statistic=0.7706214689265537, pvalue=8.880681637420218e-121)",1364
10,roberta-base,11,"BinomTestResult(k=1375, n=1770, alternative='two-sided', statistic=0.7768361581920904, pvalue=1.182025594170151e-126)",1375
11,roberta-base,12,"BinomTestResult(k=1340, n=1770, alternative='two-sided', statistic=0.7570621468926554, pvalue=1.5519859340530478e-108)",1340
12,bert-base-uncased,1,"BinomTestResult(k=1485, n=1770, alternative='two-sided', statistic=0.8389830508474576, pvalue=1.777887926041412e-195)",1485
13,bert-base-uncased,2,"BinomTestResult(k=1482, n=1770, alternative='two-sided', statistic=0.8372881355932204, pvalue=2.465247891626262e-193)",1482
14,bert-base-uncased,3,"BinomTestResult(k=1484, n=1770, alternative='two-sided', statistic=0.8384180790960452, pvalue=9.240500666323055e-195)",1484
15,bert-base-uncased,4,"BinomTestResult(k=1489, n=1770, alternative='two-sided', statistic=0.8412429378531073, pvalue=2.336484479079453e-198)",1489
16,bert-base-uncased,5,"BinomTestResult(k=1484, n=1770, alternative='two-sided', statistic=0.8384180790960452, pvalue=9.240500666323055e-195)",1484
17,bert-base-uncased,6,"BinomTestResult(k=1486, n=1770, alternative='two-sided', statistic=0.8395480225988701, pvalue=3.4064399087575406e-196)",1486
18,bert-base-uncased,7,"BinomTestResult(k=1500, n=1770, alternative='two-sided', statistic=0.847457627118644, pvalue=1.9614504351336988e-206)",1500
19,bert-base-uncased,8,"BinomTestResult(k=1525, n=1770, alternative='two-sided', statistic=0.8615819209039548, pvalue=1.1827010007696635e-225)",1525
20,bert-base-uncased,9,"BinomTestResult(k=1483, n=1770, alternative='two-sided', statistic=0.8378531073446328, pvalue=4.782766898193608e-194)",1483
21,bert-base-uncased,10,"BinomTestResult(k=1476, n=1770, alternative='two-sided', statistic=0.8338983050847457, pvalue=4.2401358962835265e-189)",1476
22,bert-base-uncased,11,"BinomTestResult(k=1456, n=1770, alternative='two-sided', statistic=0.8225988700564971, pvalue=1.9577900995926617e-175)",1456
23,bert-base-uncased,12,"BinomTestResult(k=1412, n=1770, alternative='two-sided', statistic=0.7977401129943503, pvalue=1.0803159940573676e-147)",1412
24,distilroberta,1,"BinomTestResult(k=1326, n=1770, alternative='two-sided', statistic=0.7491525423728813, pvalue=9.468797705717306e-102)",1326
25,distilroberta,2,"BinomTestResult(k=1278, n=1770, alternative='two-sided', statistic=0.7220338983050848, pvalue=2.1545003916646213e-80)",1278
26,distilroberta,3,"BinomTestResult(k=1283, n=1770, alternative='two-sided', statistic=0.7248587570621469, pvalue=1.7490519420172524e-82)",1283
27,distilroberta,4,"BinomTestResult(k=1346, n=1770, alternative='two-sided', statistic=0.7604519774011299, pvalue=1.5970854176877235e-111)",1346
28,distilroberta,5,"BinomTestResult(k=1364, n=1770, alternative='two-sided', statistic=0.7706214689265537, pvalue=8.880681637420218e-121)",1364
