,sentence,mod_word,mod_word_match,head_noun,head_noun_match
0,There are adventure months.,adventure,adventure,months,months
1,There are retirement months.,retirement,retirement,months,months
2,There are jail months.,jail,jail,months,months
3,There are adventure bookings.,adventure,adventure,bookings,bookings
4,It is an adventure commercial.,adventure,adventure,commercial,commercial
5,It is air power.,air,air,power,power
6,It is solar power.,solar,solar,power,power
7,It is manual power.,manual,manual,power,power
8,It is an air current.,air,air,current,current
9,It is an air blast.,air,air,blast,blast
10,It is a birth rash.,birth,birth,rash,rash
11,It is an allergy rash.,allergy,allergy,rash,rash
12,It is an arm rash.,arm,arm,rash,rash
13,It is a birth cramp.,birth,birth,cramp,cramp
14,It is a birth event.,birth,birth,event,event
15,It is a cable brake.,cable,cable,brake,brake
16,It is an electric brake.,electric,electric,brake,brake
17,It is a bicycle brake.,bicycle,bicycle,brake,brake
18,It is a cable pulley.,cable,cable,pulley,pulley
19,It is a cable bobbin.,cable,cable,bobbin,bobbin
20,It is a cactus bee.,cactus,cactus,bee,bee
21,It is a picnic bee.,picnic,picnic,bee,bee
22,It is a syrup bee.,syrup,syrup,bee,bee
23,It is a cactus chipmunk.,cactus,cactus,chipmunk,chipmunk
24,It is a cactus root.,cactus,cactus,root,root
25,It is cane sugar.,cane,cane,sugar,sugar
26,It is peach sugar.,peach,peach,sugar,sugar
27,It is breakfast sugar.,breakfast,breakfast,sugar,sugar
28,It is cane juice.,cane,cane,juice,juice
29,It is a cane plantation.,cane,cane,plantation,plantation
30,There are chocolate shavings.,chocolate,chocolate,shavings,shavings
31,There are grass shavings.,grass,grass,shavings,shavings
32,There are dried shavings.,dried,dried,shavings,shavings
33,It is a chocolate power.,chocolate,chocolate,power,power
34,It is a chocolate recipe.,chocolate,chocolate,recipe,recipe
35,It is a coal town.,coal,coal,town,town
36,It is a festival town.,festival,festival,town,town
37,It is a valley town.,valley,valley,town,town
38,It is a coal country.,coal,coal,country,country
39,It is a coal machine.,coal,coal,machine,machine
40,It is coffee tension.,coffee,coffee,tension,tension
41,It is examination tension.,examination,examination,tension,tension
42,It is muscle tension.,muscle,muscle,tension,tension
43,It is a coffee stain.,coffee,coffee,stain,stain
44,It is a coffee container.,coffee,coffee,container,container
45,There are college lakes.,college,college,lakes,lakes
46,There are farmer lakes.,farmer,farmer,lakes,lakes
47,There are minnow lakes.,minnow,minnow,lakes,lakes
48,It is a college property.,college,college,property,property
49,It is a college publication.,college,college,publication,publication
50,It is cream sauce.,cream,cream,sauce,sauce
51,It is pumpkin sauce.,pumpkin,pumpkin,sauce,sauce
52,It is potato sauce.,potato,potato,sauce,sauce
53,It is a cream bread.,cream,cream,bread,bread
54,It is a cream churn.,cream,cream,churn,churn
55,It is a family cow.,family,family,cow,cow
56,It is a school cow.,school,school,cow,cow
57,It is a dairy cow.,dairy,dairy,cow,cow
58,It is a family garden.,family,family,garden,garden
59,It is a family church.,family,family,church,church
60,It is a financial headache.,financial,financial,headache,headache
61,It is an alcohol headache.,alcohol,alcohol,headache,headache
62,It is a fatal headache.,fatal,fatal,headache,headache
63,It is a financial problem.,financial,financial,problem,problem
64,It is a financial remedy.,financial,financial,remedy,remedy
65,It is a fish gland.,fish,fish,gland,gland
66,It is a reptile gland.,reptile,reptile,gland,gland
67,It is an underdeveloped gland.,underdeveloped,underdeveloped,gland,gland
68,It is a fish fin.,fish,fish,fin,fin
69,It is a fish stew.,fish,fish,stew,stew
70,It is a floral wreath.,floral,floral,wreath,wreath
71,It is a yarn wreath.,yarn,yarn,wreath,wreath
72,It is a Christmas wreath.,Christmas,Christmas,wreath,wreath
73,It is a floral perfume.,floral,floral,perfume,perfume
74,It is a floral fabric.,floral,floral,fabric,fabric
75,There are flu pills.,flu,flu,pills,pills
76,There are infant pills.,infant,infant,pills,pills
77,There are medicinal pills.,medicinal,medicinal,pills,pills
78,It is flu therapy.,flu,flu,therapy,therapy
79,It is a flu outbreak.,flu,flu,outbreak,outbreak
80,It is fruit food.,fruit,fruit,food,food
81,It is hot food.,hot,hot,food,food
82,It is package food.,package,package,food,food
83,It is a fruit slice.,fruit,fruit,slice,slice
84,It is a fruit seed.,fruit,fruit,seed,seed
85,It is a gas lamp.,gas,gas,lamp,lamp
86,It is a battery lamp.,battery,battery,lamp,lamp
87,It is a cabin lamp.,cabin,cabin,lamp,lamp
88,It is a gas car.,gas,gas,car,car
89,It is a gas hose.,gas,gas,hose,hose
90,It is a grain law.,grain,grain,law,law
91,It is a traffic law.,traffic,traffic,law,law
92,It is a state law.,state,state,law,law
93,It is a grain controversy.,grain,grain,controversy,controversy
94,It is a grain dish.,grain,grain,dish,dish
95,It is a gutter hole.,gutter,gutter,hole,hole
96,It is a prairie hole.,prairie,prairie,hole,hole
97,It is a rodent hole.,rodent,rodent,hole,hole
98,It is a gutter rodent.,gutter,gutter,rodent,rodent
99,It is gutter drainage.,gutter,gutter,drainage,drainage
100,It is a heat iron.,heat,heat,iron,iron
101,It is a pancake iron.,pancake,pancake,iron,iron
102,It is a ceramic iron.,ceramic,ceramic,iron,iron
103,It is a heat pad.,heat,heat,pad,pad
104,It is a heat regulator.,heat,heat,regulator,regulator
105,There are historical members.,historical,historical,members,members
106,There are foreign members.,foreign,foreign,members,members
107,There are hospital members.,hospital,hospital,members,members
108,It is a historical elder.,historical,historical,elder,elder
109,There are historical archives.,historical,historical,archives,archives
110,It is a home light.,home,home,light,light
111,It is a reading light.,reading,reading,light,light
112,It is a glass light.,glass,glass,light,light
113,It is home paint.,home,home,paint,paint
114,It is a home dispute.,home,home,dispute,dispute
115,It is honey soup.,honey,honey,soup,soup
116,It is ham soup.,ham,ham,soup,soup
117,It is holiday soup.,holiday,holiday,soup,soup
118,It is a honey muffin.,honey,honey,muffin,muffin
119,It is a honey insect.,honey,honey,insect,insect
120,There are horse scales.,horse,horse,scales,scales
121,There are chemistry scales.,chemistry,chemistry,scales,scales
122,There are metal scales.,metal,metal,scales,scales
123,There are horse stables.,horse,horse,stables,stables
124,It is a horse auction.,horse,horse,auction,auction
125,It is job language.,job,job,language,language
126,It is California language.,California,California,language,language
127,It is verbal language.,verbal,verbal,language,language
128,It is a job completion.,job,job,completion,completion
129,It is job anxiety.,job,job,anxiety,anxiety
130,It is juvenile underwear.,juvenile,juvenile,underwear,underwear
131,It is evening underwear.,evening,evening,underwear,underwear
132,It is flannel underwear.,flannel,flannel,underwear,underwear
133,It is a juvenile swing.,juvenile,juvenile,swing,swing
134,It is juvenile behavior.,juvenile,juvenile,behavior,behavior
135,It is a lemon plant.,lemon,lemon,plant,plant
136,It is a pollen plant.,pollen,pollen,plant,plant
137,It is a farm plant.,farm,farm,plant,plant
138,It is a lemon tree.,lemon,lemon,tree,tree
139,It is a lemon biscuit.,lemon,lemon,biscuit,biscuit
140,It is a Marine antique.,Marine,Marine,antique,antique
141,It is a library antique.,library,library,antique,antique
142,It is a sewing antique.,sewing,sewing,antique,antique
143,It is a Marine gun.,Marine,Marine,gun,gun
144,It is a Marine attack.,Marine,Marine,attack,attack
145,There are marital instincts.,marital,marital,instincts,instincts
146,There are academic instincts.,academic,academic,instincts,instincts
147,There are evolved instincts.,evolved,evolved,instincts,instincts
148,It is marital preparation.,marital,marital,preparation,preparation
149,It is marital happiness.,marital,marital,happiness,happiness
150,It is a milk virus.,milk,milk,virus,virus
151,It is a throat virus.,throat,throat,virus,virus
152,It is a dormant virus.,dormant,dormant,virus,virus
153,It is a milk bacterium.,milk,milk,bacterium,bacterium
154,It is a milk pudding.,milk,milk,pudding,pudding
155,There are morning signals.,morning,morning,signals,signals
