,sentence,head_noun,head_noun_match,but_word,but_word_match
0,There are adventure months but,months,months,but,but
1,There are retirement months but,months,months,but,but
2,There are jail months but,months,months,but,but
3,There are adventure bookings but,bookings,bookings,but,but
4,It is an adventure commercial but,commercial,commercial,but,but
5,It is air power but,power,power,but,but
6,It is solar power but,power,power,but,but
7,It is manual power but,power,power,but,but
8,It is an air current but,current,current,but,but
9,It is an air blast but,blast,blast,but,but
10,It is a birth rash but,rash,rash,but,but
11,It is an allergy rash but,rash,rash,but,but
12,It is an arm rash but,rash,rash,but,but
13,It is a birth cramp but,cramp,cramp,but,but
14,It is a birth event but,event,event,but,but
15,It is a cable brake but,brake,brake,but,but
16,It is an electric brake but,brake,brake,but,but
17,It is a bicycle brake but,brake,brake,but,but
18,It is a cable pulley but,pulley,pulley,but,but
19,It is a cable bobbin but,bobbin,bobbin,but,but
20,It is a cactus bee but,bee,bee,but,but
21,It is a picnic bee but,bee,bee,but,but
22,It is a syrup bee but,bee,bee,but,but
23,It is a cactus chipmunk but,chipmunk,chipmunk,but,but
24,It is a cactus root but,root,root,but,but
25,It is cane sugar but,sugar,sugar,but,but
26,It is peach sugar but,sugar,sugar,but,but
27,It is breakfast sugar but,sugar,sugar,but,but
28,It is cane juice but,juice,juice,but,but
29,It is a cane plantation but,plantation,plantation,but,but
30,There are chocolate shavings but,shavings,shavings,but,but
31,There are grass shavings but,shavings,shavings,but,but
32,There are dried shavings but,shavings,shavings,but,but
33,It is a chocolate power but,power,power,but,but
34,It is a chocolate recipe but,recipe,recipe,but,but
35,It is a coal town but,town,town,but,but
36,It is a festival town but,town,town,but,but
37,It is a valley town but,town,town,but,but
38,It is a coal country but,country,country,but,but
39,It is a coal machine but,machine,machine,but,but
40,It is coffee tension but,tension,tension,but,but
41,It is examination tension but,tension,tension,but,but
42,It is muscle tension but,tension,tension,but,but
43,It is a coffee stain but,stain,stain,but,but
44,It is a coffee container but,container,container,but,but
45,There are college lakes but,lakes,lakes,but,but
46,There are farmer lakes but,lakes,lakes,but,but
47,There are minnow lakes but,lakes,lakes,but,but
48,It is a college property but,property,property,but,but
49,It is a college publication but,publication,publication,but,but
50,It is cream sauce but,sauce,sauce,but,but
51,It is pumpkin sauce but,sauce,sauce,but,but
52,It is potato sauce but,sauce,sauce,but,but
53,It is a cream bread but,bread,bread,but,but
54,It is a cream churn but,churn,churn,but,but
55,It is a family cow but,cow,cow,but,but
56,It is a school cow but,cow,cow,but,but
57,It is a dairy cow but,cow,cow,but,but
58,It is a family garden but,garden,garden,but,but
59,It is a family church but,church,church,but,but
60,It is a financial headache but,headache,headache,but,but
61,It is an alcohol headache but,headache,headache,but,but
62,It is a fatal headache but,headache,headache,but,but
63,It is a financial problem but,problem,problem,but,but
64,It is a financial remedy but,remedy,remedy,but,but
65,It is a fish gland but,gland,gland,but,but
66,It is a reptile gland but,gland,gland,but,but
67,It is an underdeveloped gland but,gland,gland,but,but
68,It is a fish fin but,fin,fin,but,but
69,It is a fish stew but,stew,stew,but,but
70,It is a floral wreath but,wreath,wreath,but,but
71,It is a yarn wreath but,wreath,wreath,but,but
72,It is a Christmas wreath but,wreath,wreath,but,but
73,It is a floral perfume but,perfume,perfume,but,but
74,It is a floral fabric but,fabric,fabric,but,but
75,There are flu pills but,pills,pills,but,but
76,There are infant pills but,pills,pills,but,but
77,There are medicinal pills but,pills,pills,but,but
78,It is flu therapy but,therapy,therapy,but,but
79,It is a flu outbreak but,outbreak,outbreak,but,but
80,It is fruit food but,food,food,but,but
81,It is hot food but,food,food,but,but
82,It is package food but,food,food,but,but
83,It is a fruit slice but,slice,slice,but,but
84,It is a fruit seed but,seed,seed,but,but
85,It is a gas lamp but,lamp,lamp,but,but
86,It is a battery lamp but,lamp,lamp,but,but
87,It is a cabin lamp but,lamp,lamp,but,but
88,It is a gas car but,car,car,but,but
89,It is a gas hose but,hose,hose,but,but
90,It is a grain law but,law,law,but,but
91,It is a traffic law but,law,law,but,but
92,It is a state law but,law,law,but,but
93,It is a grain controversy but,controversy,controversy,but,but
94,It is a grain dish but,dish,dish,but,but
95,It is a gutter hole but,hole,hole,but,but
96,It is a prairie hole but,hole,hole,but,but
97,It is a rodent hole but,hole,hole,but,but
98,It is a gutter rodent but,rodent,rodent,but,but
99,It is gutter drainage but,drainage,drainage,but,but
100,It is a heat iron but,iron,iron,but,but
101,It is a pancake iron but,iron,iron,but,but
102,It is a ceramic iron but,iron,iron,but,but
103,It is a heat pad but,pad,pad,but,but
104,It is a heat regulator but,regulator,regulator,but,but
105,There are historical members but,members,members,but,but
106,There are foreign members but,members,members,but,but
107,There are hospital members but,members,members,but,but
108,It is a historical elder but,elder,elder,but,but
109,There are historical archives but,archives,archives,but,but
110,It is a home light but,light,light,but,but
111,It is a reading light but,light,light,but,but
112,It is a glass light but,light,light,but,but
113,It is home paint but,paint,paint,but,but
114,It is a home dispute but,dispute,dispute,but,but
115,It is honey soup but,soup,soup,but,but
116,It is ham soup but,soup,soup,but,but
117,It is holiday soup but,soup,soup,but,but
118,It is a honey muffin but,muffin,muffin,but,but
119,It is a honey insect but,insect,insect,but,but
120,There are horse scales but,scales,scales,but,but
121,There are chemistry scales but,scales,scales,but,but
122,There are metal scales but,scales,scales,but,but
123,There are horse stables but,stables,stables,but,but
124,It is a horse auction but,auction,auction,but,but
125,It is job language but,language,language,but,but
126,It is California language but,language,language,but,but
127,It is verbal language but,language,language,but,but
128,It is a job completion but,completion,completion,but,but
129,It is job anxiety but,anxiety,anxiety,but,but
130,It is juvenile underwear but,underwear,underwear,but,but
131,It is evening underwear but,underwear,underwear,but,but
132,It is flannel underwear but,underwear,underwear,but,but
133,It is a juvenile swing but,swing,swing,but,but
134,It is juvenile behavior but,behavior,behavior,but,but
135,It is a lemon plant but,plant,plant,but,but
136,It is a pollen plant but,plant,plant,but,but
137,It is a farm plant but,plant,plant,but,but
138,It is a lemon tree but,tree,tree,but,but
139,It is a lemon biscuit but,biscuit,biscuit,but,but
140,It is a Marine antique but,antique,antique,but,but
141,It is a library antique but,antique,antique,but,but
142,It is a sewing antique but,antique,antique,but,but
143,It is a Marine gun but,gun,gun,but,but
144,It is a Marine attack but,attack,attack,but,but
145,There are marital instincts but,instincts,instincts,but,but
146,There are academic instincts but,instincts,instincts,but,but
147,There are evolved instincts but,instincts,instincts,but,but
148,It is marital preparation but,preparation,preparation,but,but
149,It is marital happiness but,happiness,happiness,but,but
150,It is a milk virus but,virus,virus,but,but
151,It is a throat virus but,virus,virus,but,but
152,It is a dormant virus but,virus,virus,but,but
153,It is a milk bacterium but,bacterium,bacterium,but,but
154,It is a milk pudding but,pudding,pudding,but,but
155,There are morning signals but,signals,signals,but,but
156,There are pregnancy signals but,signals,signals,but,but
157,There are animal signals but,signals,signals,but,but
158,It is morning medication but,medication,medication,but,but
159,It is morning meditation but,meditation,meditation,but,but
160,It is a moth shape but,shape,shape,but,but
161,It is a mould shape but,shape,shape,but,but
162,It is an oval shape but,shape,shape,but,but
163,It is a moth wing but,wing,wing,but,but
164,It is a moth insecticide but,insecticide,insecticide,but,but
165,It is a mountain breeze but,breeze,breeze,but,but
166,It is a kitchen breeze but,breeze,breeze,but,but
167,It is a storm breeze but,breeze,breeze,but,but
168,It is a mountain cabin but,cabin,cabin,but,but
169,It is a mountain magazine but,magazine,magazine,but,but
170,It is a municipal forest but,forest,forest,but,but
171,It is a royalty forest but,forest,forest,but,but
172,It is an alpine forest but,forest,forest,but,but
173,It is a municipal pool but,pool,pool,but,but
174,It is a municipal campaign but,campaign,campaign,but,but
175,It is a murder film but,film,film,but,but
176,It is a poverty film but,film,film,but,but
177,It is a foreign film but,film,film,but,but
178,It is a murder investigation but,investigation,investigation,but,but
179,It is a murder attempt but,attempt,attempt,but,but
180,There are national resources but,resources,resources,but,but
181,There are company resources but,resources,resources,but,but
182,There are gold resources but,resources,resources,but,but
183,It is a national police but,police,police,but,but
184,It is a national mistake but,mistake,mistake,but,but
185,It is a nose sound but,sound,sound,but,but
186,It is a drum sound but,sound,sound,but,but
187,It is an unidentified sound but,sound,sound,but,but
188,It is a nose itch but,itch,itch,but,but
189,It is a nose movement but,movement,movement,but,but
190,It is an office charge but,charge,charge,but,but
191,It is a doctor charge but,charge,charge,but,but
192,It is a royalty charge but,charge,charge,but,but
193,It is an office statement but,statement,statement,but,but
194,It is an office notepad but,notepad,notepad,but,but
195,It is an oil treatment but,treatment,treatment,but,but
196,It is a surgery treatment but,treatment,treatment,but,but
197,It is a disease treatment but,treatment,treatment,but,but
198,It is an oil moisturizer but,moisturizer,moisturizer,but,but
199,It is an oil accident but,accident,accident,but,but
200,It is an olive season but,season,season,but,but
201,It is a gestation season but,season,season,but,but
202,It is a humidity season but,season,season,but,but
203,It is olive fertilizer but,fertilizer,fertilizer,but,but
204,It is an olive paste but,paste,paste,but,but
205,It is paper equipment but,equipment,equipment,but,but
206,It is construction equipment but,equipment,equipment,but,but
207,It is steel equipment but,equipment,equipment,but,but
208,There are paper staples but,staples,staples,but,but
209,It is a paper sculpture but,sculpture,sculpture,but,but
210,It is a party dance but,dance,dance,but,but
211,It is a hall dance but,dance,dance,but,but
212,It is a peasant dance but,dance,dance,but,but
213,It is a party toast but,toast,toast,but,but
214,It is a party invitation but,invitation,invitation,but,but
215,It is pine oil but,oil,oil,but,but
216,It is pig oil but,oil,oil,but,but
217,It is tanning oil but,oil,oil,but,but
218,It is a pine bark but,bark,bark,but,but
219,It is pine furniture but,furniture,furniture,but,but
220,It is a plastic report but,report,report,but,but
221,It is a war report but,report,report,but,but
222,It is a company report but,report,report,but,but
223,It is a plastic shortage but,shortage,shortage,but,but
224,It is a plastic shortage but,shortage,shortage,but,but
225,It is a servant comedy but,comedy,comedy,but,but
226,It is an economic comedy but,comedy,comedy,but,but
227,It is an amateur comedy but,comedy,comedy,but,but
228,It is a servant scandal but,scandal,scandal,but,but
229,It is a servant carriage but,carriage,carriage,but,but
230,It is a song magazine but,magazine,magazine,but,but
231,It is a sewing magazine but,magazine,magazine,but,but
232,It is a locker magazine but,magazine,magazine,but,but
233,It is a song review but,review,review,but,but
234,It is a song recital but,recital,recital,but,but
235,It is a sports pain but,pain,pain,but,but
236,It is a needle pain but,pain,pain,but,but
237,It is an ankle pain but,pain,pain,but,but
238,It is sports excite ment but,excite ment,excite ment,but,but
239,It is a sports program but,program,program,but,but
240,It is a steam lock but,lock,lock,but,but
241,It is a coil lock but,lock,lock,but,but
242,It is an industrial lock but,lock,lock,but,but
243,It is a steam turbine but,turbine,turbine,but,but
244,It is a steam maker but,maker,maker,but,but
245,It is a student vote but,vote,vote,but,but
246,It is an employee vote but,vote,vote,but,but
247,It is a reform vote but,vote,vote,but,but
248,It is a student accusation but,accusation,accusation,but,but
249,It is a student car but,car,car,but,but
250,It is sugar alcohol but,alcohol,alcohol,but,but
251,It is barley alcohol but,alcohol,alcohol,but,but
252,It is cooking alcohol but,alcohol,alcohol,but,but
253,It is sugar extract but,extract,extract,but,but
254,It is sugar storage but,storage,storage,but,but
255,It is summer money but,money,money,but,but
256,It is phone money but,money,money,but,but
