,model,Word representations processed . . .,layer,relation_vector_corr,num_top_relations_considered
0,bert-base-uncased,As a compound,1,0.12052703743266369,1
1,bert-base-uncased,In separate sentences,1,0.11941066909189735,1
2,bert-base-uncased,As a compound,1,0.05634962457643087,18
3,bert-base-uncased,In separate sentences,1,0.0481749400376222,18
4,bert-base-uncased,As a compound,2,0.12359093886425597,1
5,bert-base-uncased,In separate sentences,2,0.1106182498241099,1
6,bert-base-uncased,As a compound,2,0.05182218560072562,18
7,bert-base-uncased,In separate sentences,2,0.027829569516436562,18
8,bert-base-uncased,As a compound,3,0.14138492669968247,1
9,bert-base-uncased,In separate sentences,3,0.11955462899958741,1
10,bert-base-uncased,As a compound,3,0.07152369911182226,18
11,bert-base-uncased,In separate sentences,3,0.04310456608317125,18
12,bert-base-uncased,As a compound,4,0.15278492165393143,1
13,bert-base-uncased,In separate sentences,4,0.12951230865226235,1
14,bert-base-uncased,As a compound,4,0.08385534934672147,18
15,bert-base-uncased,In separate sentences,4,0.05940794537435367,18
16,bert-base-uncased,As a compound,5,0.14982966920927504,1
17,bert-base-uncased,In separate sentences,5,0.11543139994537013,1
18,bert-base-uncased,As a compound,5,0.05109656897030784,18
19,bert-base-uncased,In separate sentences,5,0.03221137416843121,18
20,bert-base-uncased,As a compound,6,0.1409394658532453,1
21,bert-base-uncased,In separate sentences,6,0.12373218254727264,1
22,bert-base-uncased,As a compound,6,0.05674692523146596,18
23,bert-base-uncased,In separate sentences,6,0.051680383759217914,18
24,bert-base-uncased,As a compound,7,0.14955533051726191,1
25,bert-base-uncased,In separate sentences,7,0.13353232116889052,1
26,bert-base-uncased,As a compound,7,0.08761884686997984,18
27,bert-base-uncased,In separate sentences,7,0.07356385713783842,18
28,bert-base-uncased,As a compound,8,0.14644525326622188,1
29,bert-base-uncased,In separate sentences,8,0.12792331721832484,1
30,bert-base-uncased,As a compound,8,0.08670799359975473,18
31,bert-base-uncased,In separate sentences,8,0.08282952161040902,18
32,bert-base-uncased,As a compound,9,0.14557877759540808,1
33,bert-base-uncased,In separate sentences,9,0.11592032038658165,1
34,bert-base-uncased,As a compound,9,0.10372165959254326,18
35,bert-base-uncased,In separate sentences,9,0.08577925541258268,18
36,bert-base-uncased,As a compound,10,0.13878549968724113,1
37,bert-base-uncased,In separate sentences,10,0.10647872342185223,1
38,bert-base-uncased,As a compound,10,0.10015872863790388,18
39,bert-base-uncased,In separate sentences,10,0.06585162545151431,18
40,bert-base-uncased,As a compound,11,0.13330144207165173,1
41,bert-base-uncased,In separate sentences,11,0.11205241645166375,1
42,bert-base-uncased,As a compound,11,0.10323110187057068,18
43,bert-base-uncased,In separate sentences,11,0.045708098993015304,18
44,bert-base-uncased,As a compound,12,0.08245914863499884,1
45,bert-base-uncased,In separate sentences,12,0.08690832465002382,1
46,bert-base-uncased,As a compound,12,0.07197465451769808,18
47,bert-base-uncased,In separate sentences,12,0.038614174435427466,18
48,roberta-base,As a compound,1,0.11736263568815569,1
49,roberta-base,In separate sentences,1,0.02782500555428316,1
50,roberta-base,As a compound,1,0.06501997681348268,18
51,roberta-base,In separate sentences,1,-0.010354728165231083,18
52,roberta-base,As a compound,2,0.1393287446219206,1
53,roberta-base,In separate sentences,2,0.03886645885164367,1
54,roberta-base,As a compound,2,0.10098398980559734,18
55,roberta-base,In separate sentences,2,-0.004581732473579825,18
56,roberta-base,As a compound,3,0.15902408972872528,1
57,roberta-base,In separate sentences,3,0.07355264793092872,1
58,roberta-base,As a compound,3,0.10748260212766637,18
59,roberta-base,In separate sentences,3,0.011370335949002436,18
60,roberta-base,As a compound,4,0.15747040921554198,1
61,roberta-base,In separate sentences,4,0.10069044864284234,1
62,roberta-base,As a compound,4,0.0984290016703235,18
63,roberta-base,In separate sentences,4,0.01807590231002865,18
64,roberta-base,As a compound,5,0.16730585875791404,1
65,roberta-base,In separate sentences,5,0.09897922709860195,1
66,roberta-base,As a compound,5,0.1057362677372067,18
67,roberta-base,In separate sentences,5,0.025845621229396414,18
68,roberta-base,As a compound,6,0.18159591676465786,1
69,roberta-base,In separate sentences,6,0.10224141293135225,1
70,roberta-base,As a compound,6,0.1365251522613242,18
71,roberta-base,In separate sentences,6,0.01092449051939715,18
72,roberta-base,As a compound,7,0.1790019222015633,1
73,roberta-base,In separate sentences,7,0.12287928799982585,1
74,roberta-base,As a compound,7,0.09458374452673636,18
75,roberta-base,In separate sentences,7,-0.0005397412435766001,18
76,roberta-base,As a compound,8,0.1823809056952697,1
77,roberta-base,In separate sentences,8,0.10845885120875895,1
78,roberta-base,As a compound,8,0.08912756736385906,18
79,roberta-base,In separate sentences,8,0.000409436848677634,18
80,roberta-base,As a compound,9,0.16517905483864384,1
81,roberta-base,In separate sentences,9,0.1016682895252654,1
82,roberta-base,As a compound,9,0.0889040059020226,18
83,roberta-base,In separate sentences,9,0.006858226902108823,18
84,roberta-base,As a compound,10,0.17388998736622938,1
85,roberta-base,In separate sentences,10,0.09534491848559622,1
