,model,layer,binom_p_val,num_success
0,roberta-base,1,"BinomTestResult(k=1581, n=1770, alternative='two-sided', statistic=0.8932203389830509, pvalue=1.480014071489335e-273)",1581
1,roberta-base,2,"BinomTestResult(k=1518, n=1770, alternative='two-sided', statistic=0.8576271186440678, pvalue=3.7953260069329126e-220)",1518
2,roberta-base,3,"BinomTestResult(k=1496, n=1770, alternative='two-sided', statistic=0.8451977401129943, pvalue=1.8006211085856246e-203)",1496
3,roberta-base,4,"BinomTestResult(k=1490, n=1770, alternative='two-sided', statistic=0.8418079096045198, pvalue=4.402072861643762e-199)",1490
4,roberta-base,5,"BinomTestResult(k=1544, n=1770, alternative='two-sided', statistic=0.8723163841807909, pvalue=4.09884760838762e-241)",1544
5,roberta-base,6,"BinomTestResult(k=1584, n=1770, alternative='two-sided', statistic=0.8949152542372881, pvalue=2.473101587508766e-276)",1584
6,roberta-base,7,"BinomTestResult(k=1558, n=1770, alternative='two-sided', statistic=0.880225988700565, pvalue=5.2001623348997983e-253)",1558
7,roberta-base,8,"BinomTestResult(k=1563, n=1770, alternative='two-sided', statistic=0.8830508474576271, pvalue=2.2815565902013505e-257)",1563
8,roberta-base,9,"BinomTestResult(k=1602, n=1770, alternative='two-sided', statistic=0.9050847457627119, pvalue=1.6867541599343462e-293)",1602
9,roberta-base,10,"BinomTestResult(k=1605, n=1770, alternative='two-sided', statistic=0.9067796610169492, pvalue=1.8992132557856641e-296)",1605
10,roberta-base,11,"BinomTestResult(k=1578, n=1770, alternative='two-sided', statistic=0.8915254237288136, pvalue=8.398423762878249e-271)",1578
11,roberta-base,12,"BinomTestResult(k=1592, n=1770, alternative='two-sided', statistic=0.8994350282485876, pvalue=7.454660456584189e-284)",1592
12,bert-base-uncased,1,"BinomTestResult(k=1418, n=1770, alternative='two-sided', statistic=0.8011299435028248, pvalue=2.6917625172539375e-151)",1418
13,bert-base-uncased,2,"BinomTestResult(k=1475, n=1770, alternative='two-sided', statistic=0.8333333333333334, pvalue=2.123655232884021e-188)",1475
14,bert-base-uncased,3,"BinomTestResult(k=1524, n=1770, alternative='two-sided', statistic=0.8610169491525423, pvalue=7.338427457079093e-225)",1524
15,bert-base-uncased,4,"BinomTestResult(k=1515, n=1770, alternative='two-sided', statistic=0.8559322033898306, pvalue=8.107973334961377e-218)",1515
16,bert-base-uncased,5,"BinomTestResult(k=1532, n=1770, alternative='two-sided', statistic=0.8655367231638418, pvalue=2.9234785834167257e-231)",1532
17,bert-base-uncased,6,"BinomTestResult(k=1507, n=1770, alternative='two-sided', statistic=0.8514124293785311, pvalue=1.082562046843102e-211)",1507
18,bert-base-uncased,7,"BinomTestResult(k=1556, n=1770, alternative='two-sided', statistic=0.8790960451977401, pvalue=2.7721243550984293e-251)",1556
19,bert-base-uncased,8,"BinomTestResult(k=1497, n=1770, alternative='two-sided', statistic=0.8457627118644068, pvalue=3.292548563422843e-204)",1497
20,bert-base-uncased,9,"BinomTestResult(k=1521, n=1770, alternative='two-sided', statistic=0.8593220338983051, pvalue=1.7042751099694025e-222)",1521
21,bert-base-uncased,10,"BinomTestResult(k=1511, n=1770, alternative='two-sided', statistic=0.8536723163841808, pvalue=9.713215875674796e-215)",1511
22,bert-base-uncased,11,"BinomTestResult(k=1541, n=1770, alternative='two-sided', statistic=0.8706214689265537, pvalue=1.2737891921793513e-238)",1541
23,bert-base-uncased,12,"BinomTestResult(k=1579, n=1770, alternative='two-sided', statistic=0.892090395480226, pvalue=1.0203906644854493e-271)",1579
24,distilroberta,1,"BinomTestResult(k=1555, n=1770, alternative='two-sided', statistic=0.8785310734463276, pvalue=2.007943879111031e-250)",1555
25,distilroberta,2,"BinomTestResult(k=1499, n=1770, alternative='two-sided', statistic=0.8468926553672317, pvalue=1.0867142166323552e-205)",1499
26,distilroberta,3,"BinomTestResult(k=1509, n=1770, alternative='two-sided', statistic=0.8525423728813559, pvalue=3.2719231068330836e-213)",1509
27,distilroberta,4,"BinomTestResult(k=1499, n=1770, alternative='two-sided', statistic=0.8468926553672317, pvalue=1.0867142166323552e-205)",1499
28,distilroberta,5,"BinomTestResult(k=1575, n=1770, alternative='two-sided', statistic=0.8898305084745762, pvalue=4.522250600814755e-268)",1575
29,distilroberta,6,"BinomTestResult(k=1577, n=1770, alternative='two-sided', statistic=0.8909604519774011, pvalue=6.872244567618496e-270)",1577
30,xlnet-base-cased,1,"BinomTestResult(k=1511, n=1770, alternative='two-sided', statistic=0.8536723163841808, pvalue=9.713215875674796e-215)",1511
31,xlnet-base-cased,2,"BinomTestResult(k=1485, n=1770, alternative='two-sided', statistic=0.8389830508474576, pvalue=1.777887926041412e-195)",1485
