,model,layer,binom_p_val,num_success
0,bert-base-uncased,1,"BinomTestResult(k=1484, n=1770, alternative='two-sided', statistic=0.8384180790960452, pvalue=9.24050066632364e-195)",1484
1,bert-base-uncased,2,"BinomTestResult(k=1481, n=1770, alternative='two-sided', statistic=0.8367231638418079, pvalue=1.2654491217158068e-192)",1481
2,bert-base-uncased,3,"BinomTestResult(k=1484, n=1770, alternative='two-sided', statistic=0.8384180790960452, pvalue=9.24050066632364e-195)",1484
3,bert-base-uncased,4,"BinomTestResult(k=1489, n=1770, alternative='two-sided', statistic=0.8412429378531073, pvalue=2.336484479079533e-198)",1489
4,bert-base-uncased,5,"BinomTestResult(k=1486, n=1770, alternative='two-sided', statistic=0.8395480225988701, pvalue=3.406439908757544e-196)",1486
5,bert-base-uncased,6,"BinomTestResult(k=1485, n=1770, alternative='two-sided', statistic=0.8389830508474576, pvalue=1.7778879260413993e-195)",1485
6,bert-base-uncased,7,"BinomTestResult(k=1501, n=1770, alternative='two-sided', statistic=0.8480225988700565, pvalue=3.524887956980767e-207)",1501
7,bert-base-uncased,8,"BinomTestResult(k=1525, n=1770, alternative='two-sided', statistic=0.8615819209039548, pvalue=1.1827010007697369e-225)",1525
8,bert-base-uncased,9,"BinomTestResult(k=1483, n=1770, alternative='two-sided', statistic=0.8378531073446328, pvalue=4.7827668981936016e-194)",1483
9,bert-base-uncased,10,"BinomTestResult(k=1477, n=1770, alternative='two-sided', statistic=0.8344632768361582, pvalue=8.431556472301406e-190)",1477
10,bert-base-uncased,11,"BinomTestResult(k=1452, n=1770, alternative='two-sided', statistic=0.8203389830508474, pvalue=8.769789290138998e-173)",1452
11,bert-base-uncased,12,"BinomTestResult(k=1411, n=1770, alternative='two-sided', statistic=0.7971751412429379, pvalue=4.254087364492236e-147)",1411
12,roberta-base,1,"BinomTestResult(k=1317, n=1770, alternative='two-sided', statistic=0.7440677966101695, pvalue=1.596555841243637e-97)",1317
13,roberta-base,2,"BinomTestResult(k=1356, n=1770, alternative='two-sided', statistic=0.7661016949152543, pvalue=1.3071267022610755e-116)",1356
14,roberta-base,3,"BinomTestResult(k=1404, n=1770, alternative='two-sided', statistic=0.7932203389830509, pvalue=5.667179486895267e-143)",1404
15,roberta-base,4,"BinomTestResult(k=1393, n=1770, alternative='two-sided', statistic=0.7870056497175141, pvalue=1.2229692726750918e-136)",1393
16,roberta-base,5,"BinomTestResult(k=1375, n=1770, alternative='two-sided', statistic=0.7768361581920904, pvalue=1.1820255941701636e-126)",1375
17,roberta-base,6,"BinomTestResult(k=1403, n=1770, alternative='two-sided', statistic=0.7926553672316384, pvalue=2.1706721619238482e-142)",1403
18,roberta-base,7,"BinomTestResult(k=1389, n=1770, alternative='two-sided', statistic=0.7847457627118644, pvalue=2.2216934723614726e-134)",1389
19,roberta-base,8,"BinomTestResult(k=1394, n=1770, alternative='two-sided', statistic=0.7875706214689265, pvalue=3.303343810167154e-137)",1394
20,roberta-base,9,"BinomTestResult(k=1372, n=1770, alternative='two-sided', statistic=0.7751412429378531, pvalue=4.919596818238136e-125)",1372
21,roberta-base,10,"BinomTestResult(k=1361, n=1770, alternative='two-sided', statistic=0.7689265536723164, pvalue=3.3244545672445453e-119)",1361
22,roberta-base,11,"BinomTestResult(k=1374, n=1770, alternative='two-sided', statistic=0.7762711864406779, pvalue=4.109635425529672e-126)",1374
23,roberta-base,12,"BinomTestResult(k=1338, n=1770, alternative='two-sided', statistic=0.7559322033898305, pvalue=1.4999286448949232e-107)",1338
