,model,layer,binom_p_val,num_success
0,openai-community/gpt2,1,"BinomTestResult(k=893, n=1770, alternative='two-sided', statistic=0.5045197740112994, pvalue=0.7214494170962323)",893
1,openai-community/gpt2,2,"BinomTestResult(k=855, n=1770, alternative='two-sided', statistic=0.4830508474576271, pvalue=0.16078307887827298)",855
2,openai-community/gpt2,3,"BinomTestResult(k=942, n=1770, alternative='two-sided', statistic=0.5322033898305085, pvalue=0.0072161924412949005)",942
3,openai-community/gpt2,4,"BinomTestResult(k=866, n=1770, alternative='two-sided', statistic=0.48926553672316386, pvalue=0.3791581121481662)",866
4,openai-community/gpt2,5,"BinomTestResult(k=812, n=1770, alternative='two-sided', statistic=0.45875706214689266, pvalue=0.0005641396768990272)",812
5,openai-community/gpt2,6,"BinomTestResult(k=837, n=1770, alternative='two-sided', statistic=0.4728813559322034, pvalue=0.023914259662096402)",837
6,openai-community/gpt2,7,"BinomTestResult(k=856, n=1770, alternative='two-sided', statistic=0.48361581920903957, pvalue=0.17545135093349937)",856
7,openai-community/gpt2,8,"BinomTestResult(k=891, n=1770, alternative='two-sided', statistic=0.5033898305084745, pvalue=0.7937462737968546)",891
8,openai-community/gpt2,9,"BinomTestResult(k=851, n=1770, alternative='two-sided', statistic=0.4807909604519774, pvalue=0.11123935931077264)",851
9,openai-community/gpt2,10,"BinomTestResult(k=820, n=1770, alternative='two-sided', statistic=0.4632768361581921, pvalue=0.002159054882289509)",820
10,openai-community/gpt2,11,"BinomTestResult(k=852, n=1770, alternative='two-sided', statistic=0.48135593220338985, pvalue=0.12232337553889489)",852
11,openai-community/gpt2,12,"BinomTestResult(k=798, n=1770, alternative='two-sided', statistic=0.45084745762711864, pvalue=3.86926175560822e-05)",798
12,microsoft/phi-1,1,"BinomTestResult(k=970, n=1770, alternative='two-sided', statistic=0.5480225988700564, pvalue=5.8233778701406216e-05)",970
13,microsoft/phi-1,2,"BinomTestResult(k=894, n=1770, alternative='two-sided', statistic=0.5050847457627119, pvalue=0.6861690750918337)",894
14,microsoft/phi-1,3,"BinomTestResult(k=1015, n=1770, alternative='two-sided', statistic=0.5734463276836158, pvalue=6.960474816284646e-10)",1015
15,microsoft/phi-1,4,"BinomTestResult(k=1021, n=1770, alternative='two-sided', statistic=0.5768361581920904, pvalue=1.0906498919213581e-10)",1021
16,microsoft/phi-1,5,"BinomTestResult(k=1060, n=1770, alternative='two-sided', statistic=0.5988700564971752, pvalue=8.62789213590635e-17)",1060
17,microsoft/phi-1,6,"BinomTestResult(k=1088, n=1770, alternative='two-sided', statistic=0.6146892655367232, pvalue=4.089467236318663e-22)",1088
18,microsoft/phi-1,7,"BinomTestResult(k=1103, n=1770, alternative='two-sided', statistic=0.6231638418079096, pvalue=2.6883741185134972e-25)",1103
19,microsoft/phi-1,8,"BinomTestResult(k=1125, n=1770, alternative='two-sided', statistic=0.635593220338983, pvalue=2.18783898449314e-30)",1125
20,microsoft/phi-1,9,"BinomTestResult(k=1125, n=1770, alternative='two-sided', statistic=0.635593220338983, pvalue=2.18783898449314e-30)",1125
21,microsoft/phi-1,10,"BinomTestResult(k=1148, n=1770, alternative='two-sided', statistic=0.6485875706214689, pvalue=2.9833843831213303e-36)",1148
22,microsoft/phi-1,11,"BinomTestResult(k=1147, n=1770, alternative='two-sided', statistic=0.6480225988700565, pvalue=5.513425029452985e-36)",1147
23,microsoft/phi-1,12,"BinomTestResult(k=1122, n=1770, alternative='two-sided', statistic=0.6338983050847458, pvalue=1.1583356703193749e-29)",1122
24,microsoft/phi-1,13,"BinomTestResult(k=1098, n=1770, alternative='two-sided', statistic=0.6203389830508474, pvalue=3.280935035967879e-24)",1098
25,microsoft/phi-1,14,"BinomTestResult(k=1078, n=1770, alternative='two-sided', statistic=0.6090395480225989, pvalue=4.0249649091509256e-20)",1078
26,microsoft/phi-1,15,"BinomTestResult(k=1040, n=1770, alternative='two-sided', statistic=0.5875706214689266, pvalue=1.7958741508371454e-13)",1040
