,reordered_compounds,reordered_sentences
0,coil lock,It is a coil lock.
1,oil treatment,It is an oil treatment.
2,pumpkin sauce,It is pumpkin sauce.
3,vegetable appetizer,It is a vegetable appetizer.
4,cable pulley,It is a cable pulley.
5,propane stove,It is a propane stove.
6,gas lamp,It is a gas lamp.
7,olive paste,It is an olive paste.
8,steel equipment,It is steel equipment.
9,hydrogen wheel,It is a hydrogen wheel.
10,thermal wheel,It is a thermal wheel.
11,vapor cloud,It is a vapor cloud.
12,wood stove,It is a wood stove.
13,floral perfume,It is a floral perfume.
14,steam turbine,It is a steam turbine.
15,coffee stain,It is a coffee stain.
16,grass shavings,They are grass shavings.
17,floral wreath,It is a floral wreath.
18,chocolate shavings,They are chocolate shavings.
19,song magazine,It is a song magazine.
20,murder film,It is a murder film.
21,electric brake,It is an electric brake.
22,glass light,It is a glass light.
23,rain drops,They are rain drops.
24,thermal torture,It is thermal torture.
25,tax wealth,It is tax wealth.
26,allergy rash,It is an allergy rash.
27,economic comedy,It is an economic comedy.
28,weight pressure,It is weight pressure.
29,financial problem,It is a financial problem.
30,grain controversy,It is a grain controversy.
31,drum sound,It is a drum sound.
32,mountain magazine,It is a mountain magazine.
33,gestation season,It is a gestation season.
34,coffee tension,It is coffee tension.
35,horse stables,They are horse stables.
36,tax pressure,It is tax pressure.
37,nose sound,It is a nose sound.
38,alcohol headache,It is an alcohol headache.
39,sewing magazine,It is a sewing magazine.
40,plastic shortage,It is a plastic shortage.
41,job anxiety,It is job anxiety.
42,industrial lock,It is an industrial lock.
43,war riots,They are war riots.
44,financial remedy,It is a financial remedy.
45,traffic law,It is a traffic law.
46,paper staples,They are paper staples.
47,grain law,It is a grain law.
48,birth cramp,It is a birth cramp.
49,Christmas wreath,It is a Christmas wreath.
50,nose itch,It is a nose itch.
51,plastic report,It is a plastic report.
52,wood chisel,It is a wood chisel.
53,wood freshener,It is a wood freshener.
54,cream churn,It is a cream churn.
55,vapor drops,They are vapor drops.
56,flu therapy,It is flu therapy.
57,infant pills,They are infant pills.
58,breakfast sugar,It is breakfast sugar.
59,construction equipment,It is construction equipment.
