,model,layer,binom_p_val,num_success
0,openai-community/gpt2,1,"BinomTestResult(k=1384, n=1770, alternative='two-sided', statistic=0.7819209039548023, pvalue=1.374601832306104e-131)",1384
1,openai-community/gpt2,2,"BinomTestResult(k=1544, n=1770, alternative='two-sided', statistic=0.8723163841807909, pvalue=4.09884760838762e-241)",1544
2,openai-community/gpt2,3,"BinomTestResult(k=1543, n=1770, alternative='two-sided', statistic=0.8717514124293785, pvalue=2.790361813433692e-240)",1543
3,openai-community/gpt2,4,"BinomTestResult(k=1541, n=1770, alternative='two-sided', statistic=0.8706214689265537, pvalue=1.2737891921793513e-238)",1541
4,openai-community/gpt2,5,"BinomTestResult(k=1550, n=1770, alternative='two-sided', statistic=0.8757062146892656, pvalue=3.7001695703242025e-246)",1550
5,openai-community/gpt2,6,"BinomTestResult(k=1541, n=1770, alternative='two-sided', statistic=0.8706214689265537, pvalue=1.2737891921793513e-238)",1541
6,openai-community/gpt2,7,"BinomTestResult(k=1532, n=1770, alternative='two-sided', statistic=0.8655367231638418, pvalue=2.9234785834167257e-231)",1532
7,openai-community/gpt2,8,"BinomTestResult(k=1536, n=1770, alternative='two-sided', statistic=0.8677966101694915, pvalue=1.6436042843450947e-234)",1536
8,openai-community/gpt2,9,"BinomTestResult(k=1549, n=1770, alternative='two-sided', statistic=0.8751412429378531, pvalue=2.5973682193799646e-245)",1549
9,openai-community/gpt2,10,"BinomTestResult(k=1568, n=1770, alternative='two-sided', statistic=0.8858757062146893, pvalue=8.733549473898669e-262)",1568
10,openai-community/gpt2,11,"BinomTestResult(k=1568, n=1770, alternative='two-sided', statistic=0.8858757062146893, pvalue=8.733549473898669e-262)",1568
11,openai-community/gpt2,12,"BinomTestResult(k=1575, n=1770, alternative='two-sided', statistic=0.8898305084745762, pvalue=4.522250600814755e-268)",1575
12,microsoft/phi-1,1,"BinomTestResult(k=1458, n=1770, alternative='two-sided', statistic=0.823728813559322, pvalue=9.038647248360434e-177)",1458
13,microsoft/phi-1,2,"BinomTestResult(k=1515, n=1770, alternative='two-sided', statistic=0.8559322033898306, pvalue=8.107973334961377e-218)",1515
14,microsoft/phi-1,3,"BinomTestResult(k=1462, n=1770, alternative='two-sided', statistic=0.8259887005649718, pvalue=1.8386833548448425e-179)",1462
15,microsoft/phi-1,4,"BinomTestResult(k=1484, n=1770, alternative='two-sided', statistic=0.8384180790960452, pvalue=9.240500666323055e-195)",1484
16,microsoft/phi-1,5,"BinomTestResult(k=1462, n=1770, alternative='two-sided', statistic=0.8259887005649718, pvalue=1.8386833548448425e-179)",1462
17,microsoft/phi-1,6,"BinomTestResult(k=1464, n=1770, alternative='two-sided', statistic=0.8271186440677966, pvalue=8.100358747954042e-181)",1464
18,microsoft/phi-1,7,"BinomTestResult(k=1467, n=1770, alternative='two-sided', statistic=0.8288135593220339, pvalue=7.2718673785742e-183)",1467
19,microsoft/phi-1,8,"BinomTestResult(k=1463, n=1770, alternative='two-sided', statistic=0.8265536723163842, pvalue=3.8668702528223625e-180)",1463
20,microsoft/phi-1,9,"BinomTestResult(k=1470, n=1770, alternative='two-sided', statistic=0.8305084745762712, pvalue=6.298759696346025e-185)",1470
21,microsoft/phi-1,10,"BinomTestResult(k=1483, n=1770, alternative='two-sided', statistic=0.8378531073446328, pvalue=4.782766898193608e-194)",1483
22,microsoft/phi-1,11,"BinomTestResult(k=1484, n=1770, alternative='two-sided', statistic=0.8384180790960452, pvalue=9.240500666323055e-195)",1484
23,microsoft/phi-1,12,"BinomTestResult(k=1498, n=1770, alternative='two-sided', statistic=0.8463276836158192, pvalue=5.994667122902591e-205)",1498
24,microsoft/phi-1,13,"BinomTestResult(k=1500, n=1770, alternative='two-sided', statistic=0.847457627118644, pvalue=1.9614504351336988e-206)",1500
25,microsoft/phi-1,14,"BinomTestResult(k=1490, n=1770, alternative='two-sided', statistic=0.8418079096045198, pvalue=4.402072861643762e-199)",1490
26,microsoft/phi-1,15,"BinomTestResult(k=1475, n=1770, alternative='two-sided', statistic=0.8333333333333334, pvalue=2.123655232884021e-188)",1475
27,microsoft/phi-1,16,"BinomTestResult(k=1491, n=1770, alternative='two-sided', statistic=0.8423728813559322, pvalue=8.258722495012239e-200)",1491
28,microsoft/phi-1,17,"BinomTestResult(k=1491, n=1770, alternative='two-sided', statistic=0.8423728813559322, pvalue=8.258722495012239e-200)",1491
29,microsoft/phi-1,18,"BinomTestResult(k=1511, n=1770, alternative='two-sided', statistic=0.8536723163841808, pvalue=9.713215875674796e-215)",1511
