,model,layer,binom_p_val,num_success
0,openai-community/gpt2,1,"BinomTestResult(k=514, n=820, alternative='two-sided', statistic=0.6268292682926829, pvalue=3.667416201260062e-13)",514
1,openai-community/gpt2,2,"BinomTestResult(k=484, n=820, alternative='two-sided', statistic=0.5902439024390244, pvalue=2.649041046095445e-07)",484
2,openai-community/gpt2,3,"BinomTestResult(k=524, n=820, alternative='two-sided', statistic=0.6390243902439025, pvalue=1.4820136139102612e-15)",524
3,openai-community/gpt2,4,"BinomTestResult(k=338, n=820, alternative='two-sided', statistic=0.4121951219512195, pvalue=5.555528854423468e-07)",338
4,openai-community/gpt2,5,"BinomTestResult(k=331, n=820, alternative='two-sided', statistic=0.4036585365853659, pvalue=3.8176099205938775e-08)",331
5,openai-community/gpt2,6,"BinomTestResult(k=336, n=820, alternative='two-sided', statistic=0.4097560975609756, pvalue=2.649041046095445e-07)",336
6,openai-community/gpt2,7,"BinomTestResult(k=360, n=820, alternative='two-sided', statistic=0.43902439024390244, pvalue=0.0005379762928589013)",360
7,openai-community/gpt2,8,"BinomTestResult(k=362, n=820, alternative='two-sided', statistic=0.44146341463414634, pvalue=0.0008971682687357532)",362
8,openai-community/gpt2,9,"BinomTestResult(k=353, n=820, alternative='two-sided', statistic=0.4304878048780488, pvalue=7.749576336274297e-05)",353
9,openai-community/gpt2,10,"BinomTestResult(k=365, n=820, alternative='two-sided', statistic=0.4451219512195122, pvalue=0.0018660554252214517)",365
10,openai-community/gpt2,11,"BinomTestResult(k=362, n=820, alternative='two-sided', statistic=0.44146341463414634, pvalue=0.0008971682687357532)",362
11,openai-community/gpt2,12,"BinomTestResult(k=400, n=820, alternative='two-sided', statistic=0.4878048780487805, pvalue=0.5070289999465738)",400
12,microsoft/phi-1,1,"BinomTestResult(k=481, n=820, alternative='two-sided', statistic=0.5865853658536585, pvalue=7.986723996349161e-07)",481
13,microsoft/phi-1,2,"BinomTestResult(k=451, n=820, alternative='two-sided', statistic=0.55, pvalue=0.004645174955401075)",451
14,microsoft/phi-1,3,"BinomTestResult(k=532, n=820, alternative='two-sided', statistic=0.6487804878048781, pvalue=1.2395013807436278e-17)",532
15,microsoft/phi-1,4,"BinomTestResult(k=513, n=820, alternative='two-sided', statistic=0.625609756097561, pvalue=6.185949832275412e-13)",513
16,microsoft/phi-1,5,"BinomTestResult(k=525, n=820, alternative='two-sided', statistic=0.6402439024390244, pvalue=8.300701332379802e-16)",525
17,microsoft/phi-1,6,"BinomTestResult(k=518, n=820, alternative='two-sided', statistic=0.6317073170731707, pvalue=4.304048091854179e-14)",518
18,microsoft/phi-1,7,"BinomTestResult(k=517, n=820, alternative='two-sided', statistic=0.6304878048780488, pvalue=7.410541144549474e-14)",517
