,model,layer,binom_p_val,num_success
0,bert-base-uncased,1,"BinomTestResult(k=1642, n=1770, alternative='two-sided', statistic=0.927683615819209, pvalue=0.0)",1642
1,bert-base-uncased,2,"BinomTestResult(k=1627, n=1770, alternative='two-sided', statistic=0.9192090395480226, pvalue=6.77947e-319)",1627
2,bert-base-uncased,3,"BinomTestResult(k=1661, n=1770, alternative='two-sided', statistic=0.9384180790960452, pvalue=0.0)",1661
3,bert-base-uncased,4,"BinomTestResult(k=1647, n=1770, alternative='two-sided', statistic=0.9305084745762712, pvalue=0.0)",1647
4,bert-base-uncased,5,"BinomTestResult(k=1586, n=1770, alternative='two-sided', statistic=0.896045197740113, pvalue=3.3798909865106036e-278)",1586
5,bert-base-uncased,6,"BinomTestResult(k=1569, n=1770, alternative='two-sided', statistic=0.8864406779661017, pvalue=1.123469881163534e-262)",1569
6,bert-base-uncased,7,"BinomTestResult(k=1589, n=1770, alternative='two-sided', statistic=0.8977401129943503, pvalue=5.160119315290371e-281)",1589
7,bert-base-uncased,8,"BinomTestResult(k=1585, n=1770, alternative='two-sided', statistic=0.8954802259887006, pvalue=2.8998767216985803e-277)",1585
8,bert-base-uncased,9,"BinomTestResult(k=1599, n=1770, alternative='two-sided', statistic=0.9033898305084745, pvalue=1.4122087771702522e-290)",1599
9,bert-base-uncased,10,"BinomTestResult(k=1587, n=1770, alternative='two-sided', statistic=0.8966101694915254, pvalue=3.915605308752249e-279)",1587
10,bert-base-uncased,11,"BinomTestResult(k=1593, n=1770, alternative='two-sided', statistic=0.9, pvalue=8.323224548032807e-285)",1593
11,bert-base-uncased,12,"BinomTestResult(k=1574, n=1770, alternative='two-sided', statistic=0.8892655367231639, pvalue=3.6369090235652485e-267)",1574
12,roberta-base,1,"BinomTestResult(k=1598, n=1770, alternative='two-sided', statistic=0.9028248587570622, pvalue=1.3138787446151508e-289)",1598
13,roberta-base,2,"BinomTestResult(k=1620, n=1770, alternative='two-sided', statistic=0.9152542372881356, pvalue=1.3696028078586e-311)",1620
14,roberta-base,3,"BinomTestResult(k=1606, n=1770, alternative='two-sided', statistic=0.9073446327683616, pvalue=1.9497569603362103e-297)",1606
15,roberta-base,4,"BinomTestResult(k=1612, n=1770, alternative='two-sided', statistic=0.9107344632768362, pvalue=1.980384144090841e-303)",1612
16,roberta-base,5,"BinomTestResult(k=1578, n=1770, alternative='two-sided', statistic=0.8915254237288136, pvalue=8.398423762878805e-271)",1578
17,roberta-base,6,"BinomTestResult(k=1585, n=1770, alternative='two-sided', statistic=0.8954802259887006, pvalue=2.8998767216985803e-277)",1585
18,roberta-base,7,"BinomTestResult(k=1563, n=1770, alternative='two-sided', statistic=0.8830508474576271, pvalue=2.2815565902012887e-257)",1563
19,roberta-base,8,"BinomTestResult(k=1596, n=1770, alternative='two-sided', statistic=0.9016949152542373, pvalue=1.1156202762103008e-287)",1596
20,roberta-base,9,"BinomTestResult(k=1600, n=1770, alternative='two-sided', statistic=0.903954802259887, pvalue=1.5081319801772678e-291)",1600
21,roberta-base,10,"BinomTestResult(k=1618, n=1770, alternative='two-sided', statistic=0.9141242937853107, pvalue=1.5674066990333e-309)",1618
22,roberta-base,11,"BinomTestResult(k=1613, n=1770, alternative='two-sided', statistic=0.9112994350282486, pvalue=1.9384076167735026e-304)",1613
23,roberta-base,12,"BinomTestResult(k=1605, n=1770, alternative='two-sided', statistic=0.9067796610169492, pvalue=1.8992132557857076e-296)",1605
24,bert-base-japanese,1,"BinomTestResult(k=1323, n=1770, alternative='two-sided', statistic=0.747457627118644, pvalue=2.494080838269959e-100)",1323
25,bert-base-japanese,2,"BinomTestResult(k=1334, n=1770, alternative='two-sided', statistic=0.7536723163841808, pvalue=1.3506153436451749e-105)",1334
26,bert-base-japanese,3,"BinomTestResult(k=1362, n=1770, alternative='two-sided', statistic=0.7694915254237288, pvalue=9.969577015712307e-120)",1362
27,bert-base-japanese,4,"BinomTestResult(k=1336, n=1770, alternative='two-sided', statistic=0.7548022598870057, pvalue=1.4320110183554442e-106)",1336
28,bert-base-japanese,5,"BinomTestResult(k=1350, n=1770, alternative='two-sided', statistic=0.7627118644067796, pvalue=1.53028994495952e-113)",1350
29,bert-base-japanese,6,"BinomTestResult(k=1311, n=1770, alternative='two-sided', statistic=0.7406779661016949, pvalue=9.187305766568684e-95)",1311
30,bert-base-japanese,7,"BinomTestResult(k=1281, n=1770, alternative='two-sided', statistic=0.7237288135593221, pvalue=1.2097333606979788e-81)",1281
31,bert-base-japanese,8,"BinomTestResult(k=1237, n=1770, alternative='two-sided', statistic=0.6988700564971752, pvalue=2.2021231301327824e-64)",1237
32,bert-base-japanese,9,"BinomTestResult(k=1278, n=1770, alternative='two-sided', statistic=0.7220338983050848, pvalue=2.154500391664617e-80)",1278
33,bert-base-japanese,10,"BinomTestResult(k=1322, n=1770, alternative='two-sided', statistic=0.7468926553672316, pvalue=7.376548812146169e-100)",1322
34,bert-base-japanese,11,"BinomTestResult(k=1378, n=1770, alternative='two-sided', statistic=0.7785310734463277, pvalue=2.7581240519351994e-128)",1378
35,bert-base-japanese,12,"BinomTestResult(k=1368, n=1770, alternative='two-sided', statistic=0.7728813559322034, pvalue=6.781814297834569e-123)",1368
36,openai-community/gpt2,1,"BinomTestResult(k=1544, n=1770, alternative='two-sided', statistic=0.8723163841807909, pvalue=4.0988476083877765e-241)",1544
37,openai-community/gpt2,2,"BinomTestResult(k=1543, n=1770, alternative='two-sided', statistic=0.8717514124293785, pvalue=2.7903618134336116e-240)",1543
38,openai-community/gpt2,3,"BinomTestResult(k=1541, n=1770, alternative='two-sided', statistic=0.8706214689265537, pvalue=1.2737891921792935e-238)",1541
39,openai-community/gpt2,4,"BinomTestResult(k=1550, n=1770, alternative='two-sided', statistic=0.8757062146892656, pvalue=3.700169570324352e-246)",1550
40,openai-community/gpt2,5,"BinomTestResult(k=1541, n=1770, alternative='two-sided', statistic=0.8706214689265537, pvalue=1.2737891921792935e-238)",1541
41,openai-community/gpt2,6,"BinomTestResult(k=1532, n=1770, alternative='two-sided', statistic=0.8655367231638418, pvalue=2.923478583416634e-231)",1532
42,openai-community/gpt2,7,"BinomTestResult(k=1536, n=1770, alternative='two-sided', statistic=0.8677966101694915, pvalue=1.6436042843450973e-234)",1536
43,openai-community/gpt2,8,"BinomTestResult(k=1549, n=1770, alternative='two-sided', statistic=0.8751412429378531, pvalue=2.5973682193798736e-245)",1549
44,openai-community/gpt2,9,"BinomTestResult(k=1568, n=1770, alternative='two-sided', statistic=0.8858757062146893, pvalue=8.73354947389911e-262)",1568
45,openai-community/gpt2,10,"BinomTestResult(k=1568, n=1770, alternative='two-sided', statistic=0.8858757062146893, pvalue=8.73354947389911e-262)",1568
46,openai-community/gpt2,11,"BinomTestResult(k=1575, n=1770, alternative='two-sided', statistic=0.8898305084745762, pvalue=4.522250600814884e-268)",1575
47,openai-community/gpt2,12,"BinomTestResult(k=1602, n=1770, alternative='two-sided', statistic=0.9050847457627119, pvalue=1.686754159934406e-293)",1602
48,microsoft/phi-1,1,"BinomTestResult(k=1596, n=1770, alternative='two-sided', statistic=0.9016949152542373, pvalue=1.1156202762103008e-287)",1596
49,microsoft/phi-1,2,"BinomTestResult(k=1536, n=1770, alternative='two-sided', statistic=0.8677966101694915, pvalue=1.6436042843450973e-234)",1536
50,microsoft/phi-1,3,"BinomTestResult(k=1533, n=1770, alternative='two-sided', statistic=0.8661016949152542, pvalue=4.5346970389011086e-232)",1533
51,microsoft/phi-1,4,"BinomTestResult(k=1533, n=1770, alternative='two-sided', statistic=0.8661016949152542, pvalue=4.5346970389011086e-232)",1533
52,microsoft/phi-1,5,"BinomTestResult(k=1520, n=1770, alternative='two-sided', statistic=0.8587570621468926, pvalue=1.0378287930145892e-221)",1520
53,microsoft/phi-1,6,"BinomTestResult(k=1512, n=1770, alternative='two-sided', statistic=0.8542372881355932, pvalue=1.6622874970175575e-215)",1512
54,microsoft/phi-1,7,"BinomTestResult(k=1526, n=1770, alternative='two-sided', statistic=0.8621468926553673, pvalue=1.8971168388288622e-226)",1526
55,microsoft/phi-1,8,"BinomTestResult(k=1517, n=1770, alternative='two-sided', statistic=0.8570621468926554, pvalue=2.2792911588655592e-219)",1517
56,microsoft/phi-1,9,"BinomTestResult(k=1530, n=1770, alternative='two-sided', statistic=0.864406779661017, pvalue=1.1975679329197527e-229)",1530
57,microsoft/phi-1,10,"BinomTestResult(k=1520, n=1770, alternative='two-sided', statistic=0.8587570621468926, pvalue=1.0378287930145892e-221)",1520
