,model,layer,binom_p_val,num_success
0,bert-base-uncased,1,"BinomTestResult(k=674, n=820, alternative='two-sided', statistic=0.8219512195121951, pvalue=8.672279843891193e-82)",674
1,bert-base-uncased,2,"BinomTestResult(k=676, n=820, alternative='two-sided', statistic=0.824390243902439, pvalue=4.0052124599831044e-83)",676
2,bert-base-uncased,3,"BinomTestResult(k=695, n=820, alternative='two-sided', statistic=0.8475609756097561, pvalue=1.4603331816946255e-96)",695
3,bert-base-uncased,4,"BinomTestResult(k=716, n=820, alternative='two-sided', statistic=0.8731707317073171, pvalue=3.8371835663509146e-113)",716
4,bert-base-uncased,5,"BinomTestResult(k=715, n=820, alternative='two-sided', statistic=0.8719512195121951, pvalue=2.621482850645575e-112)",715
5,bert-base-uncased,6,"BinomTestResult(k=708, n=820, alternative='two-sided', statistic=0.8634146341463415, pvalue=1.3495956808326768e-106)",708
6,bert-base-uncased,7,"BinomTestResult(k=691, n=820, alternative='two-sided', statistic=0.8426829268292683, pvalue=1.289059683465112e-93)",691
7,bert-base-uncased,8,"BinomTestResult(k=688, n=820, alternative='two-sided', statistic=0.8390243902439024, pvalue=1.8957748882063565e-91)",688
8,bert-base-uncased,9,"BinomTestResult(k=677, n=820, alternative='two-sided', statistic=0.8256097560975609, pvalue=8.499981968640706e-84)",677
9,bert-base-uncased,10,"BinomTestResult(k=659, n=820, alternative='two-sided', statistic=0.8036585365853659, pvalue=3.2000839221892195e-72)",659
10,bert-base-uncased,11,"BinomTestResult(k=649, n=820, alternative='two-sided', statistic=0.7914634146341464, pvalue=2.8959820394250573e-66)",649
11,bert-base-uncased,12,"BinomTestResult(k=678, n=820, alternative='two-sided', statistic=0.8268292682926829, pvalue=1.7887433587565291e-84)",678
12,roberta-base,1,"BinomTestResult(k=649, n=820, alternative='two-sided', statistic=0.7914634146341464, pvalue=2.8959820394250573e-66)",649
13,roberta-base,2,"BinomTestResult(k=682, n=820, alternative='two-sided', statistic=0.8317073170731707, pvalue=3.221311462177419e-87)",682
14,roberta-base,3,"BinomTestResult(k=699, n=820, alternative='two-sided', statistic=0.8524390243902439, pvalue=1.423418991628047e-99)",699
15,roberta-base,4,"BinomTestResult(k=698, n=820, alternative='two-sided', statistic=0.8512195121951219, pvalue=8.172011027938049e-99)",698
16,roberta-base,5,"BinomTestResult(k=715, n=820, alternative='two-sided', statistic=0.8719512195121951, pvalue=2.621482850645575e-112)",715
17,roberta-base,6,"BinomTestResult(k=716, n=820, alternative='two-sided', statistic=0.8731707317073171, pvalue=3.8371835663509146e-113)",716
18,roberta-base,7,"BinomTestResult(k=712, n=820, alternative='two-sided', statistic=0.8682926829268293, pvalue=7.833977554892483e-110)",712
19,roberta-base,8,"BinomTestResult(k=708, n=820, alternative='two-sided', statistic=0.8634146341463415, pvalue=1.3495956808326768e-106)",708
20,roberta-base,9,"BinomTestResult(k=729, n=820, alternative='two-sided', statistic=0.8890243902439025, pvalue=1.9359795446566293e-124)",729
21,roberta-base,10,"BinomTestResult(k=728, n=820, alternative='two-sided', statistic=0.8878048780487805, pvalue=1.536754646256569e-123)",728
22,roberta-base,11,"BinomTestResult(k=724, n=820, alternative='two-sided', statistic=0.8829268292682927, pvalue=5.4079193376398686e-120)",724
23,roberta-base,12,"BinomTestResult(k=704, n=820, alternative='two-sided', statistic=0.8585365853658536, pvalue=1.9719776628241518e-103)",704
24,bert-base-japanese,1,"BinomTestResult(k=391, n=820, alternative='two-sided', statistic=0.4768292682926829, pvalue=0.19629349003773328)",391
25,bert-base-japanese,2,"BinomTestResult(k=388, n=820, alternative='two-sided', statistic=0.47317073170731705, pvalue=0.13314447711635854)",388
26,bert-base-japanese,3,"BinomTestResult(k=388, n=820, alternative='two-sided', statistic=0.47317073170731705, pvalue=0.13314447711635854)",388
27,bert-base-japanese,4,"BinomTestResult(k=409, n=820, alternative='two-sided', statistic=0.49878048780487805, pvalue=0.9721451561334593)",409
28,bert-base-japanese,5,"BinomTestResult(k=425, n=820, alternative='two-sided', statistic=0.5182926829268293, pvalue=0.3111908628560892)",425
29,bert-base-japanese,6,"BinomTestResult(k=388, n=820, alternative='two-sided', statistic=0.47317073170731705, pvalue=0.13314447711635854)",388
30,bert-base-japanese,7,"BinomTestResult(k=364, n=820, alternative='two-sided', statistic=0.44390243902439025, pvalue=0.0014686426697346066)",364
31,bert-base-japanese,8,"BinomTestResult(k=332, n=820, alternative='two-sided', statistic=0.40487804878048783, pvalue=5.6795880763049805e-08)",332
32,bert-base-japanese,9,"BinomTestResult(k=315, n=820, alternative='two-sided', statistic=0.38414634146341464, pvalue=3.3733500550962595e-11)",315
33,bert-base-japanese,10,"BinomTestResult(k=349, n=820, alternative='two-sided', statistic=0.42560975609756097, pvalue=2.3080111019577892e-05)",349
34,bert-base-japanese,11,"BinomTestResult(k=350, n=820, alternative='two-sided', statistic=0.4268292682926829, pvalue=3.14666259401175e-05)",350
35,bert-base-japanese,12,"BinomTestResult(k=365, n=820, alternative='two-sided', statistic=0.4451219512195122, pvalue=0.0018660554252214496)",365
36,openai-community/gpt2,1,"BinomTestResult(k=713, n=820, alternative='two-sided', statistic=0.8695121951219512, pvalue=1.1843891579471636e-110)",713
37,openai-community/gpt2,2,"BinomTestResult(k=655, n=820, alternative='two-sided', statistic=0.7987804878048781, pvalue=8.454113171042838e-70)",655
38,openai-community/gpt2,3,"BinomTestResult(k=641, n=820, alternative='two-sided', statistic=0.7817073170731708, pvalue=9.91619979942772e-62)",641
39,openai-community/gpt2,4,"BinomTestResult(k=662, n=820, alternative='two-sided', statistic=0.8073170731707318, pvalue=4.505008630458603e-74)",662
40,openai-community/gpt2,5,"BinomTestResult(k=691, n=820, alternative='two-sided', statistic=0.8426829268292683, pvalue=1.289059683465112e-93)",691
41,openai-community/gpt2,6,"BinomTestResult(k=681, n=820, alternative='two-sided', statistic=0.8304878048780487, pvalue=1.5840130644898819e-86)",681
