,model,layer,binom_p_val,num_success
0,roberta-base,1,"BinomTestResult(k=648, n=820, alternative='two-sided', statistic=0.7902439024390244, pvalue=1.0956054951096973e-65)",648
1,roberta-base,2,"BinomTestResult(k=681, n=820, alternative='two-sided', statistic=0.8304878048780487, pvalue=1.5840130644898947e-86)",681
2,roberta-base,3,"BinomTestResult(k=698, n=820, alternative='two-sided', statistic=0.8512195121951219, pvalue=8.172011027938172e-99)",698
3,roberta-base,4,"BinomTestResult(k=700, n=820, alternative='two-sided', statistic=0.8536585365853658, pvalue=2.455531426583681e-100)",700
4,roberta-base,5,"BinomTestResult(k=715, n=820, alternative='two-sided', statistic=0.8719512195121951, pvalue=2.621482850645556e-112)",715
5,roberta-base,6,"BinomTestResult(k=716, n=820, alternative='two-sided', statistic=0.8731707317073171, pvalue=3.837183566351011e-113)",716
6,roberta-base,7,"BinomTestResult(k=713, n=820, alternative='two-sided', statistic=0.8695121951219512, pvalue=1.1843891579471298e-110)",713
7,roberta-base,8,"BinomTestResult(k=709, n=820, alternative='two-sided', statistic=0.8646341463414634, pvalue=2.1278339771873812e-107)",709
8,roberta-base,9,"BinomTestResult(k=728, n=820, alternative='two-sided', statistic=0.8878048780487805, pvalue=1.5367546462565283e-123)",728
9,roberta-base,10,"BinomTestResult(k=729, n=820, alternative='two-sided', statistic=0.8890243902439025, pvalue=1.9359795446565894e-124)",729
10,roberta-base,11,"BinomTestResult(k=724, n=820, alternative='two-sided', statistic=0.8829268292682927, pvalue=5.407919337639775e-120)",724
11,roberta-base,12,"BinomTestResult(k=703, n=820, alternative='two-sided', statistic=0.8573170731707317, pvalue=1.1889037187087221e-102)",703
12,bert-base-uncased,1,"BinomTestResult(k=675, n=820, alternative='two-sided', statistic=0.823170731707317, pvalue=1.871503895562635e-82)",675
13,bert-base-uncased,2,"BinomTestResult(k=680, n=820, alternative='two-sided', statistic=0.8292682926829268, pvalue=7.722167252656697e-86)",680
14,bert-base-uncased,3,"BinomTestResult(k=696, n=820, alternative='two-sided', statistic=0.848780487804878, pvalue=2.617344720260901e-97)",696
15,bert-base-uncased,4,"BinomTestResult(k=718, n=820, alternative='two-sided', statistic=0.875609756097561, pvalue=7.954800761013188e-115)",718
16,bert-base-uncased,5,"BinomTestResult(k=716, n=820, alternative='two-sided', statistic=0.8731707317073171, pvalue=3.837183566351011e-113)",716
17,bert-base-uncased,6,"BinomTestResult(k=710, n=820, alternative='two-sided', statistic=0.8658536585365854, pvalue=3.320233183898356e-108)",710
18,bert-base-uncased,7,"BinomTestResult(k=691, n=820, alternative='two-sided', statistic=0.8426829268292683, pvalue=1.2890596834651098e-93)",691
19,bert-base-uncased,8,"BinomTestResult(k=685, n=820, alternative='two-sided', statistic=0.8353658536585366, pvalue=2.5713637537059625e-89)",685
20,bert-base-uncased,9,"BinomTestResult(k=678, n=820, alternative='two-sided', statistic=0.8268292682926829, pvalue=1.7887433587564747e-84)",678
21,bert-base-uncased,10,"BinomTestResult(k=659, n=820, alternative='two-sided', statistic=0.8036585365853659, pvalue=3.2000839221892643e-72)",659
22,bert-base-uncased,11,"BinomTestResult(k=650, n=820, alternative='two-sided', statistic=0.7926829268292683, pvalue=7.598764295520219e-67)",650
23,bert-base-uncased,12,"BinomTestResult(k=678, n=820, alternative='two-sided', statistic=0.8268292682926829, pvalue=1.7887433587564747e-84)",678
24,distilroberta,1,"BinomTestResult(k=662, n=820, alternative='two-sided', statistic=0.8073170731707318, pvalue=4.50500863045858e-74)",662
25,distilroberta,2,"BinomTestResult(k=680, n=820, alternative='two-sided', statistic=0.8292682926829268, pvalue=7.722167252656697e-86)",680
26,distilroberta,3,"BinomTestResult(k=701, n=820, alternative='two-sided', statistic=0.8548780487804878, pvalue=4.195061733644422e-101)",701
27,distilroberta,4,"BinomTestResult(k=697, n=820, alternative='two-sided', statistic=0.85, pvalue=4.646889916895101e-98)",697
28,distilroberta,5,"BinomTestResult(k=710, n=820, alternative='two-sided', statistic=0.8658536585365854, pvalue=3.320233183898356e-108)",710
29,distilroberta,6,"BinomTestResult(k=695, n=820, alternative='two-sided', statistic=0.8475609756097561, pvalue=1.4603331816946274e-96)",695
30,xlnet-base-cased,1,"BinomTestResult(k=699, n=820, alternative='two-sided', statistic=0.8524390243902439, pvalue=1.4234189916280313e-99)",699
31,xlnet-base-cased,2,"BinomTestResult(k=685, n=820, alternative='two-sided', statistic=0.8353658536585366, pvalue=2.5713637537059625e-89)",685
32,xlnet-base-cased,3,"BinomTestResult(k=657, n=820, alternative='two-sided', statistic=0.801219512195122, pvalue=5.281245394937658e-71)",657
33,xlnet-base-cased,4,"BinomTestResult(k=670, n=820, alternative='two-sided', statistic=0.8170731707317073, pvalue=3.681818081773899e-79)",670
34,xlnet-base-cased,5,"BinomTestResult(k=667, n=820, alternative='two-sided', statistic=0.8134146341463414, pvalue=3.1615357134511784e-77)",667
35,xlnet-base-cased,6,"BinomTestResult(k=677, n=820, alternative='two-sided', statistic=0.8256097560975609, pvalue=8.499981968640622e-84)",677
36,xlnet-base-cased,7,"BinomTestResult(k=661, n=820, alternative='two-sided', statistic=0.8060975609756098, pvalue=1.880265282086375e-73)",661
37,xlnet-base-cased,8,"BinomTestResult(k=659, n=820, alternative='two-sided', statistic=0.8036585365853659, pvalue=3.2000839221892643e-72)",659
38,xlnet-base-cased,9,"BinomTestResult(k=635, n=820, alternative='two-sided', statistic=0.774390243902439, pvalue=1.8497771240364656e-58)",635
39,xlnet-base-cased,10,"BinomTestResult(k=623, n=820, alternative='two-sided', statistic=0.7597560975609756, pvalue=3.0562026024986852e-52)",623
40,xlnet-base-cased,11,"BinomTestResult(k=646, n=820, alternative='two-sided', statistic=0.7878048780487805, pvalue=1.5340583468642122e-64)",646
41,xlnet-base-cased,12,"BinomTestResult(k=648, n=820, alternative='two-sided', statistic=0.7902439024390244, pvalue=1.0956054951096973e-65)",648
42,bert-base-japanese,1,"BinomTestResult(k=388, n=820, alternative='two-sided', statistic=0.47317073170731705, pvalue=0.1331444771163589)",388
43,bert-base-japanese,2,"BinomTestResult(k=385, n=820, alternative='two-sided', statistic=0.4695121951219512, pvalue=0.08699074869285413)",385
44,bert-base-japanese,3,"BinomTestResult(k=390, n=820, alternative='two-sided', statistic=0.47560975609756095, pvalue=0.17317980466617858)",390
45,bert-base-japanese,4,"BinomTestResult(k=407, n=820, alternative='two-sided', statistic=0.49634146341463414, pvalue=0.8614015401138514)",407
46,bert-base-japanese,5,"BinomTestResult(k=426, n=820, alternative='two-sided', statistic=0.5195121951219512, pvalue=0.27899235116912724)",426
47,bert-base-japanese,6,"BinomTestResult(k=389, n=820, alternative='two-sided', statistic=0.474390243902439, pvalue=0.15216247680506803)",389
48,bert-base-japanese,7,"BinomTestResult(k=366, n=820, alternative='two-sided', statistic=0.44634146341463415, pvalue=0.00236010680157798)",366
49,bert-base-japanese,8,"BinomTestResult(k=333, n=820, alternative='two-sided', statistic=0.4060975609756098, pvalue=8.408252760950981e-08)",333
50,bert-base-japanese,9,"BinomTestResult(k=314, n=820, alternative='two-sided', statistic=0.3829268292682927, pvalue=2.0830351458943766e-11)",314
51,bert-base-japanese,10,"BinomTestResult(k=352, n=820, alternative='two-sided', statistic=0.4292682926829268, pvalue=5.765887302951178e-05)",352
52,bert-base-japanese,11,"BinomTestResult(k=352, n=820, alternative='two-sided', statistic=0.4292682926829268, pvalue=5.765887302951178e-05)",352
53,bert-base-japanese,12,"BinomTestResult(k=366, n=820, alternative='two-sided', statistic=0.44634146341463415, pvalue=0.00236010680157798)",366
54,xlm-mlm-xnli15-1024,1,"BinomTestResult(k=578, n=820, alternative='two-sided', statistic=0.7048780487804878, pvalue=1.677732575210678e-32)",578
55,xlm-mlm-xnli15-1024,2,"BinomTestResult(k=550, n=820, alternative='two-sided', statistic=0.6707317073170732, pvalue=7.554191148988948e-23)",550
56,xlm-mlm-xnli15-1024,3,"BinomTestResult(k=532, n=820, alternative='two-sided', statistic=0.6487804878048781, pvalue=1.2395013807436278e-17)",532
57,xlm-mlm-xnli15-1024,4,"BinomTestResult(k=533, n=820, alternative='two-sided', statistic=0.65, pvalue=6.656716769241049e-18)",533
58,xlm-mlm-xnli15-1024,5,"BinomTestResult(k=521, n=820, alternative='two-sided', statistic=0.6353658536585366, pvalue=8.175209395283026e-15)",521
59,xlm-mlm-xnli15-1024,6,"BinomTestResult(k=559, n=820, alternative='two-sided', statistic=0.6817073170731708, pvalue=9.632839350401725e-26)",559
60,xlm-mlm-xnli15-1024,7,"BinomTestResult(k=537, n=820, alternative='two-sided', statistic=0.6548780487804878, pvalue=5.251423913004037e-19)",537
61,xlm-mlm-xnli15-1024,8,"BinomTestResult(k=514, n=820, alternative='two-sided', statistic=0.6268292682926829, pvalue=3.667416201260062e-13)",514
62,xlm-mlm-xnli15-1024,9,"BinomTestResult(k=519, n=820, alternative='two-sided', statistic=0.6329268292682927, pvalue=2.4869295687521312e-14)",519
63,xlm-mlm-xnli15-1024,10,"BinomTestResult(k=510, n=820, alternative='two-sided', statistic=0.6219512195121951, pvalue=2.878881166273085e-12)",510
64,xlm-mlm-xnli15-1024,11,"BinomTestResult(k=508, n=820, alternative='two-sided', statistic=0.6195121951219512, pvalue=7.822937848569856e-12)",508
65,xlm-mlm-xnli15-1024,12,"BinomTestResult(k=561, n=820, alternative='two-sided', statistic=0.6841463414634147, pvalue=2.0609165780161445e-26)",561
66,meta-llama/Llama-3.2-1B,1,"BinomTestResult(k=471, n=820, alternative='two-sided', statistic=0.574390243902439, pvalue=2.3080111019577604e-05)",471
67,meta-llama/Llama-3.2-1B,2,"BinomTestResult(k=543, n=820, alternative='two-sided', statistic=0.6621951219512195, pvalue=9.9135742603003e-21)",543
68,meta-llama/Llama-3.2-1B,3,"BinomTestResult(k=400, n=820, alternative='two-sided', statistic=0.4878048780487805, pvalue=0.5070289999465738)",400
69,meta-llama/Llama-3.2-1B,4,"BinomTestResult(k=441, n=820, alternative='two-sided', statistic=0.5378048780487805, pvalue=0.03309082459004637)",441
70,meta-llama/Llama-3.2-1B,5,"BinomTestResult(k=434, n=820, alternative='two-sided', statistic=0.5292682926829269, pvalue=0.10067420328080609)",434
71,meta-llama/Llama-3.2-1B,6,"BinomTestResult(k=364, n=820, alternative='two-sided', statistic=0.44390243902439025, pvalue=0.0014686426697346079)",364
72,meta-llama/Llama-3.2-1B,7,"BinomTestResult(k=267, n=820, alternative='two-sided', statistic=0.325609756097561, pvalue=8.608479422910077e-24)",267
73,meta-llama/Llama-3.2-1B,8,"BinomTestResult(k=304, n=820, alternative='two-sided', statistic=0.37073170731707317, pvalue=1.2693623079561585e-13)",304
74,meta-llama/Llama-3.2-1B,9,"BinomTestResult(k=450, n=820, alternative='two-sided', statistic=0.5487804878048781, pvalue=0.0057684837832386315)",450
75,meta-llama/Llama-3.2-1B,10,"BinomTestResult(k=550, n=820, alternative='two-sided', statistic=0.6707317073170732, pvalue=7.554191148988948e-23)",550
76,meta-llama/Llama-3.2-1B,11,"BinomTestResult(k=522, n=820, alternative='two-sided', statistic=0.6365853658536585, pvalue=4.650936547487405e-15)",522
77,meta-llama/Llama-3.2-1B,12,"BinomTestResult(k=505, n=820, alternative='two-sided', statistic=0.6158536585365854, pvalue=3.3733500550962634e-11)",505
78,meta-llama/Llama-3.2-1B,13,"BinomTestResult(k=493, n=820, alternative='two-sided', statistic=0.6012195121951219, pvalue=7.417514449076327e-09)",493
79,meta-llama/Llama-3.2-1B,14,"BinomTestResult(k=270, n=820, alternative='two-sided', statistic=0.32926829268292684, pvalue=7.554191148988948e-23)",270
80,meta-llama/Llama-3.2-1B,15,"BinomTestResult(k=578, n=820, alternative='two-sided', statistic=0.7048780487804878, pvalue=1.677732575210678e-32)",578
81,meta-llama/Llama-3.2-1B,16,"BinomTestResult(k=520, n=820, alternative='two-sided', statistic=0.6341463414634146, pvalue=1.429569657428832e-14)",520
82,openai-community/gpt2,1,"BinomTestResult(k=514, n=820, alternative='two-sided', statistic=0.6268292682926829, pvalue=3.667416201260062e-13)",514
83,openai-community/gpt2,2,"BinomTestResult(k=484, n=820, alternative='two-sided', statistic=0.5902439024390244, pvalue=2.649041046095445e-07)",484
