,model,layer,binom_p_val,num_success
0,openai-community/gpt2,1,"BinomTestResult(k=397, n=820, alternative='two-sided', statistic=0.4841463414634146, pvalue=0.382654018915252)",397
1,openai-community/gpt2,2,"BinomTestResult(k=367, n=820, alternative='two-sided', statistic=0.4475609756097561, pvalue=0.002971276624100787)",367
2,openai-community/gpt2,3,"BinomTestResult(k=432, n=820, alternative='two-sided', statistic=0.526829268292683, pvalue=0.1331444771163589)",432
3,openai-community/gpt2,4,"BinomTestResult(k=394, n=820, alternative='two-sided', statistic=0.48048780487804876, pvalue=0.27899235116912724)",394
4,openai-community/gpt2,5,"BinomTestResult(k=378, n=820, alternative='two-sided', statistic=0.4609756097560976, pvalue=0.02774199646266365)",378
5,openai-community/gpt2,6,"BinomTestResult(k=393, n=820, alternative='two-sided', statistic=0.4792682926829268, pvalue=0.2491369236659588)",393
6,openai-community/gpt2,7,"BinomTestResult(k=412, n=820, alternative='two-sided', statistic=0.5024390243902439, pvalue=0.9165710150858601)",412
7,openai-community/gpt2,8,"BinomTestResult(k=432, n=820, alternative='two-sided', statistic=0.526829268292683, pvalue=0.1331444771163589)",432
8,openai-community/gpt2,9,"BinomTestResult(k=431, n=820, alternative='two-sided', statistic=0.525609756097561, pvalue=0.15216247680506803)",431
9,openai-community/gpt2,10,"BinomTestResult(k=445, n=820, alternative='two-sided', statistic=0.5426829268292683, pvalue=0.01591913654817588)",445
10,openai-community/gpt2,11,"BinomTestResult(k=452, n=820, alternative='two-sided', statistic=0.551219512195122, pvalue=0.0037236133893258716)",452
11,openai-community/gpt2,12,"BinomTestResult(k=452, n=820, alternative='two-sided', statistic=0.551219512195122, pvalue=0.0037236133893258716)",452
12,microsoft/phi-1,1,"BinomTestResult(k=422, n=820, alternative='two-sided', statistic=0.5146341463414634, pvalue=0.421878949798423)",422
13,microsoft/phi-1,2,"BinomTestResult(k=399, n=820, alternative='two-sided', statistic=0.4865853658536585, pvalue=0.46336496692297746)",399
14,microsoft/phi-1,3,"BinomTestResult(k=449, n=820, alternative='two-sided', statistic=0.5475609756097561, pvalue=0.007130987752313892)",449
15,microsoft/phi-1,4,"BinomTestResult(k=445, n=820, alternative='two-sided', statistic=0.5426829268292683, pvalue=0.01591913654817588)",445
16,microsoft/phi-1,5,"BinomTestResult(k=471, n=820, alternative='two-sided', statistic=0.574390243902439, pvalue=2.3080111019577604e-05)",471
17,microsoft/phi-1,6,"BinomTestResult(k=480, n=820, alternative='two-sided', statistic=0.5853658536585366, pvalue=1.1426150064779325e-06)",480
18,microsoft/phi-1,7,"BinomTestResult(k=498, n=820, alternative='two-sided', statistic=0.6073170731707317, pvalue=8.557854039725083e-10)",498
19,microsoft/phi-1,8,"BinomTestResult(k=513, n=820, alternative='two-sided', statistic=0.625609756097561, pvalue=6.185949832275412e-13)",513
20,microsoft/phi-1,9,"BinomTestResult(k=512, n=820, alternative='two-sided', statistic=0.624390243902439, pvalue=1.0380780198219253e-12)",512
21,microsoft/phi-1,10,"BinomTestResult(k=514, n=820, alternative='two-sided', statistic=0.6268292682926829, pvalue=3.667416201260062e-13)",514
22,microsoft/phi-1,11,"BinomTestResult(k=522, n=820, alternative='two-sided', statistic=0.6365853658536585, pvalue=4.650936547487405e-15)",522
23,microsoft/phi-1,12,"BinomTestResult(k=518, n=820, alternative='two-sided', statistic=0.6317073170731707, pvalue=4.304048091854179e-14)",518
24,microsoft/phi-1,13,"BinomTestResult(k=512, n=820, alternative='two-sided', statistic=0.624390243902439, pvalue=1.0380780198219253e-12)",512
25,microsoft/phi-1,14,"BinomTestResult(k=502, n=820, alternative='two-sided', statistic=0.6121951219512195, pvalue=1.3899631338984626e-10)",502
26,microsoft/phi-1,15,"BinomTestResult(k=484, n=820, alternative='two-sided', statistic=0.5902439024390244, pvalue=2.649041046095445e-07)",484
27,microsoft/phi-1,16,"BinomTestResult(k=498, n=820, alternative='two-sided', statistic=0.6073170731707317, pvalue=8.557854039725083e-10)",498
28,microsoft/phi-1,17,"BinomTestResult(k=491, n=820, alternative='two-sided', statistic=0.598780487804878, pvalue=1.6994883486288345e-08)",491
