,model,Word representations processed . . .,layer,relation_vector_corr,num_top_relations_considered
0,roberta-base,As a compound,1,0.11736263568815569,1
1,roberta-base,In separate sentences,1,0.02782500555428316,1
2,roberta-base,As a compound,1,0.06501997681348268,18
3,roberta-base,In separate sentences,1,-0.010354728165231083,18
4,roberta-base,As a compound,2,0.1393287446219206,1
5,roberta-base,In separate sentences,2,0.03886645885164367,1
6,roberta-base,As a compound,2,0.10098398980559734,18
7,roberta-base,In separate sentences,2,-0.004581732473579825,18
8,roberta-base,As a compound,3,0.15902408972872528,1
9,roberta-base,In separate sentences,3,0.07355264793092872,1
10,roberta-base,As a compound,3,0.10748260212766637,18
11,roberta-base,In separate sentences,3,0.011370335949002436,18
12,roberta-base,As a compound,4,0.15747040921554198,1
13,roberta-base,In separate sentences,4,0.10069044864284234,1
14,roberta-base,As a compound,4,0.0984290016703235,18
15,roberta-base,In separate sentences,4,0.01807590231002865,18
16,roberta-base,As a compound,5,0.16730585875791404,1
17,roberta-base,In separate sentences,5,0.09897922709860195,1
18,roberta-base,As a compound,5,0.1057362677372067,18
19,roberta-base,In separate sentences,5,0.025845621229396414,18
20,roberta-base,As a compound,6,0.18159591676465786,1
21,roberta-base,In separate sentences,6,0.10224141293135225,1
22,roberta-base,As a compound,6,0.1365251522613242,18
23,roberta-base,In separate sentences,6,0.01092449051939715,18
24,roberta-base,As a compound,7,0.1790019222015633,1
25,roberta-base,In separate sentences,7,0.12287928799982585,1
26,roberta-base,As a compound,7,0.09458374452673636,18
27,roberta-base,In separate sentences,7,-0.0005397412435766001,18
28,roberta-base,As a compound,8,0.1823809056952697,1
29,roberta-base,In separate sentences,8,0.10845885120875895,1
30,roberta-base,As a compound,8,0.08912756736385906,18
31,roberta-base,In separate sentences,8,0.000409436848677634,18
32,roberta-base,As a compound,9,0.16517905483864384,1
33,roberta-base,In separate sentences,9,0.1016682895252654,1
34,roberta-base,As a compound,9,0.0889040059020226,18
35,roberta-base,In separate sentences,9,0.006858226902108823,18
36,roberta-base,As a compound,10,0.17388998736622938,1
37,roberta-base,In separate sentences,10,0.09534491848559622,1
38,roberta-base,As a compound,10,0.12167556121911259,18
39,roberta-base,In separate sentences,10,-0.003414102895759678,18
40,roberta-base,As a compound,11,0.17551972217026782,1
41,roberta-base,In separate sentences,11,0.09484784937036449,1
42,roberta-base,As a compound,11,0.13398421656079434,18
43,roberta-base,In separate sentences,11,0.0036236119228521334,18
44,roberta-base,As a compound,12,0.1491669103889661,1
45,roberta-base,In separate sentences,12,0.0849390617618107,1
46,roberta-base,As a compound,12,0.08566683593463063,18
47,roberta-base,In separate sentences,12,-0.012309294088715577,18
48,bert-base-uncased,As a compound,1,0.12052703743266369,1
49,bert-base-uncased,In separate sentences,1,0.11941066909189735,1
50,bert-base-uncased,As a compound,1,0.05634962457643087,18
51,bert-base-uncased,In separate sentences,1,0.0481749400376222,18
52,bert-base-uncased,As a compound,2,0.12359093886425597,1
53,bert-base-uncased,In separate sentences,2,0.1106182498241099,1
54,bert-base-uncased,As a compound,2,0.05182218560072562,18
55,bert-base-uncased,In separate sentences,2,0.027829569516436562,18
56,bert-base-uncased,As a compound,3,0.14138492669968247,1
57,bert-base-uncased,In separate sentences,3,0.11955462899958741,1
58,bert-base-uncased,As a compound,3,0.07152369911182226,18
59,bert-base-uncased,In separate sentences,3,0.04310456608317125,18
60,bert-base-uncased,As a compound,4,0.15278492165393143,1
61,bert-base-uncased,In separate sentences,4,0.12951230865226235,1
62,bert-base-uncased,As a compound,4,0.08385534934672147,18
63,bert-base-uncased,In separate sentences,4,0.05940794537435367,18
64,bert-base-uncased,As a compound,5,0.14982966920927504,1
65,bert-base-uncased,In separate sentences,5,0.11543139994537013,1
66,bert-base-uncased,As a compound,5,0.05109656897030784,18
67,bert-base-uncased,In separate sentences,5,0.03221137416843121,18
68,bert-base-uncased,As a compound,6,0.1409394658532453,1
69,bert-base-uncased,In separate sentences,6,0.12373218254727264,1
70,bert-base-uncased,As a compound,6,0.05674692523146596,18
71,bert-base-uncased,In separate sentences,6,0.051680383759217914,18
72,bert-base-uncased,As a compound,7,0.14955533051726191,1
73,bert-base-uncased,In separate sentences,7,0.13353232116889052,1
74,bert-base-uncased,As a compound,7,0.08761884686997984,18
75,bert-base-uncased,In separate sentences,7,0.07356385713783842,18
76,bert-base-uncased,As a compound,8,0.14644525326622188,1
77,bert-base-uncased,In separate sentences,8,0.12792331721832484,1
78,bert-base-uncased,As a compound,8,0.08670799359975473,18
79,bert-base-uncased,In separate sentences,8,0.08282952161040902,18
80,bert-base-uncased,As a compound,9,0.14557877759540808,1
81,bert-base-uncased,In separate sentences,9,0.11592032038658165,1
82,bert-base-uncased,As a compound,9,0.10372165959254326,18
83,bert-base-uncased,In separate sentences,9,0.08577925541258268,18
84,bert-base-uncased,As a compound,10,0.13878549968724113,1
85,bert-base-uncased,In separate sentences,10,0.10647872342185223,1
86,bert-base-uncased,As a compound,10,0.10015872863790388,18
87,bert-base-uncased,In separate sentences,10,0.06585162545151431,18
88,bert-base-uncased,As a compound,11,0.13330144207165173,1
89,bert-base-uncased,In separate sentences,11,0.11205241645166375,1
90,bert-base-uncased,As a compound,11,0.10323110187057068,18
91,bert-base-uncased,In separate sentences,11,0.045708098993015304,18
92,bert-base-uncased,As a compound,12,0.08245914863499884,1
93,bert-base-uncased,In separate sentences,12,0.08690832465002382,1
94,bert-base-uncased,As a compound,12,0.07197465451769808,18
95,bert-base-uncased,In separate sentences,12,0.038614174435427466,18
96,distilroberta,As a compound,1,0.1217710683330797,1
97,distilroberta,In separate sentences,1,0.02935152382073251,1
98,distilroberta,As a compound,1,0.05334368103528119,18
99,distilroberta,In separate sentences,1,-0.0036568267686106935,18
100,distilroberta,As a compound,2,0.16088741985467594,1
101,distilroberta,In separate sentences,2,0.02924830728314341,1
102,distilroberta,As a compound,2,0.10620255307189418,18
103,distilroberta,In separate sentences,2,0.018769581588755496,18
104,distilroberta,As a compound,3,0.16864224129722558,1
105,distilroberta,In separate sentences,3,0.06592548904802877,1
106,distilroberta,As a compound,3,0.10132763570979167,18
107,distilroberta,In separate sentences,3,0.025670604542130156,18
108,distilroberta,As a compound,4,0.18990213181590715,1
109,distilroberta,In separate sentences,4,0.046577820699418945,1
110,distilroberta,As a compound,4,0.1034699932612188,18
111,distilroberta,In separate sentences,4,0.006629555464001814,18
112,distilroberta,As a compound,5,0.19911556590807122,1
113,distilroberta,In separate sentences,5,0.05983571333027175,1
114,distilroberta,As a compound,5,0.1314368933899263,18
115,distilroberta,In separate sentences,5,0.011772746580308068,18
116,distilroberta,As a compound,6,0.18508354924530016,1
117,distilroberta,In separate sentences,6,0.06251391085824161,1
118,distilroberta,As a compound,6,0.10849437742923482,18
119,distilroberta,In separate sentences,6,0.0021059489704994684,18
120,xlnet-base-cased,As a compound,1,0.1281895072363178,1
121,xlnet-base-cased,In separate sentences,1,0.1285073055231053,1
122,xlnet-base-cased,As a compound,1,0.0502508678975322,18
